total_loss,domain_loss,src_cls_loss
1.4365,1.3877,0.0488
1.4527,1.3814,0.0713
1.4764,1.3849,0.0915
1.4553,1.3862,0.0691
1.4412,1.3858,0.0554
1.4329,1.3867,0.0463
1.4262,1.3865,0.0397
1.4208,1.386,0.0347
1.4163,1.3854,0.031
1.4176,1.3856,0.032
1.4135,1.3844,0.0292
1.4184,1.3848,0.0336
1.4156,1.3846,0.031
1.4137,1.3849,0.0288
1.4118,1.3849,0.0269
1.4103,1.385,0.0253
1.4132,1.385,0.0282
1.4117,1.3851,0.0266
1.4102,1.385,0.0252
1.4087,1.3847,0.024
1.4076,1.3848,0.0228
1.4066,1.3848,0.0218
1.4057,1.3849,0.0209
1.4049,1.3849,0.02
1.404,1.3848,0.0192
1.4152,1.3849,0.0303
1.4151,1.385,0.0301
1.4145,1.3848,0.0297
1.4137,1.3849,0.0289
1.4128,1.3849,0.0279
1.4119,1.3849,0.027
1.411,1.3848,0.0262
1.4102,1.3848,0.0254
1.4094,1.3848,0.0247
1.4087,1.3848,0.024
1.4082,1.3849,0.0233
1.4077,1.385,0.0227
1.407,1.3849,0.0221
1.4063,1.3847,0.0216
1.4068,1.3849,0.0219
1.4068,1.3848,0.022
1.4063,1.3848,0.0215
1.4069,1.3848,0.0221
1.4071,1.3849,0.0222
1.4065,1.3848,0.0218
1.4062,1.3848,0.0213
1.4053,1.3844,0.0209
1.4047,1.3842,0.0205
1.4042,1.3842,0.02
1.404,1.3843,0.0197
1.4036,1.3843,0.0193
1.4032,1.3842,0.019
1.4029,1.3843,0.0186
1.4033,1.3843,0.019
1.4029,1.3843,0.0186
1.4026,1.3843,0.0183
1.4023,1.3843,0.018
1.402,1.3844,0.0177
1.4018,1.3844,0.0174
1.4015,1.3844,0.0171
1.4012,1.3844,0.0168
1.401,1.3844,0.0165
1.4007,1.3844,0.0163
1.4004,1.3844,0.016
1.4002,1.3844,0.0158
1.4,1.3845,0.0155
1.3998,1.3845,0.0153
1.3994,1.3843,0.0151
1.3993,1.3845,0.0148
1.399,1.3844,0.0146
1.3989,1.3845,0.0144
1.3986,1.3844,0.0142
1.3984,1.3843,0.014
1.3982,1.3844,0.0139
1.3979,1.3842,0.0137
1.3978,1.3843,0.0135
1.3976,1.3843,0.0133
1.3978,1.3844,0.0134
1.3978,1.3843,0.0135
1.3976,1.3842,0.0133
1.4012,1.3841,0.0171
1.401,1.3841,0.0169
1.4009,1.3841,0.0168
1.4008,1.3842,0.0166
1.4006,1.3842,0.0164
1.4005,1.3842,0.0162
1.4003,1.3842,0.016
1.4001,1.3842,0.0158
1.3999,1.3843,0.0157
1.3998,1.3843,0.0155
1.3997,1.3844,0.0153
1.3995,1.3844,0.0152
1.3994,1.3844,0.015
1.3993,1.3844,0.0148
1.3993,1.3844,0.0148
1.3991,1.3844,0.0147
1.3991,1.3845,0.0146
1.399,1.3845,0.0145
1.3989,1.3845,0.0144
1.3988,1.3846,0.0142
1.3987,1.3846,0.0141
1.3986,1.3846,0.014
1.3984,1.3846,0.0138
1.3998,1.3846,0.0152
1.3996,1.3846,0.015
1.3995,1.3846,0.0149
1.3994,1.3847,0.0147
1.3992,1.3846,0.0146
1.3991,1.3846,0.0145
1.399,1.3847,0.0143
1.3988,1.3846,0.0142
1.3987,1.3847,0.0141
1.3986,1.3847,0.014
1.3985,1.3847,0.0138
1.3984,1.3847,0.0137
1.3982,1.3846,0.0136
1.3982,1.3847,0.0135
1.3981,1.3847,0.0134
1.3992,1.3847,0.0145
1.3991,1.3847,0.0144
1.399,1.3847,0.0143
1.3989,1.3847,0.0142
1.3988,1.3847,0.0141
1.3987,1.3847,0.014
1.3986,1.3847,0.0139
1.3984,1.3847,0.0137
1.3983,1.3847,0.0136
1.3982,1.3847,0.0135
1.3981,1.3847,0.0134
1.398,1.3847,0.0133
1.3979,1.3847,0.0132
1.3978,1.3847,0.0131
1.3977,1.3847,0.013
1.3977,1.3847,0.0129
1.3976,1.3848,0.0128
1.3975,1.3848,0.0128
1.3974,1.3848,0.0127
1.3973,1.3848,0.0126
1.3973,1.3848,0.0125
1.3981,1.3848,0.0133
1.3981,1.3848,0.0133
1.398,1.3848,0.0132
1.398,1.3848,0.0132
1.3979,1.3848,0.0131
1.3978,1.3848,0.013
1.3977,1.3848,0.0129
1.3977,1.3849,0.0128
1.3976,1.3849,0.0127
1.3975,1.3849,0.0126
1.3975,1.3849,0.0126
1.3974,1.3849,0.0125
1.3973,1.3849,0.0124
1.3972,1.3849,0.0123
1.3971,1.3849,0.0123
1.3971,1.3849,0.0122
1.397,1.3849,0.0121
1.397,1.3849,0.012
1.3969,1.3849,0.0119
1.3975,1.3849,0.0126
1.3974,1.3849,0.0125
1.3974,1.3849,0.0124
1.3973,1.3849,0.0123
1.3973,1.385,0.0123
1.3972,1.385,0.0122
1.397,1.3849,0.0121
1.3969,1.3849,0.0121
1.3969,1.3849,0.012
1.3969,1.385,0.0119
1.3968,1.3849,0.0118
1.3967,1.3849,0.0118
1.3967,1.3849,0.0117
1.3966,1.3849,0.0116
1.3965,1.3849,0.0116
1.3965,1.385,0.0115
1.3964,1.385,0.0114
1.3964,1.385,0.0114
1.3963,1.385,0.0113
1.3962,1.385,0.0113
1.3962,1.385,0.0112
1.3962,1.385,0.0111
1.3961,1.385,0.0111
1.396,1.385,0.011
1.396,1.385,0.011
1.396,1.3851,0.0109
1.3959,1.385,0.0108
1.3958,1.385,0.0108
1.3958,1.385,0.0107
1.3957,1.385,0.0107
1.3957,1.385,0.0106
1.3956,1.385,0.0106
1.3956,1.3851,0.0105
1.3955,1.3851,0.0104
1.3954,1.3851,0.0104
1.3954,1.3851,0.0103
1.3953,1.3851,0.0103
1.3953,1.3851,0.0102
1.3957,1.3851,0.0106
1.3957,1.3851,0.0106
1.3956,1.3851,0.0105
1.3956,1.3851,0.0105
1.3955,1.3851,0.0104
1.3955,1.3851,0.0104
1.3954,1.3851,0.0103
1.3954,1.3851,0.0103
1.3953,1.3851,0.0102
1.3953,1.3851,0.0102
1.3953,1.3851,0.0102
1.3952,1.3851,0.0101
1.3952,1.3851,0.0101
1.3951,1.3851,0.01
1.3951,1.3851,0.01
1.3959,1.3851,0.0108
1.3959,1.3851,0.0108
1.3958,1.3851,0.0108
1.3958,1.3851,0.0107
1.3957,1.3851,0.0107
1.3957,1.3851,0.0106
1.3956,1.3851,0.0106
1.3956,1.3851,0.0105
1.3956,1.3851,0.0105
1.3955,1.3851,0.0104
1.3955,1.3851,0.0104
1.3955,1.3851,0.0104
1.3954,1.3851,0.0103
1.3954,1.3851,0.0103
1.3953,1.3851,0.0102
1.3953,1.3851,0.0102
1.3952,1.3851,0.0101
1.3952,1.3851,0.0101
1.3951,1.3851,0.01
1.3951,1.3851,0.01
1.3951,1.3851,0.01
1.395,1.3851,0.0099
1.395,1.3851,0.0099
1.3949,1.3851,0.0098
1.3949,1.3851,0.0098
1.3948,1.3851,0.0098
1.3948,1.3851,0.0097
1.3948,1.3851,0.0097
1.3947,1.3851,0.0096
1.3947,1.3851,0.0096
1.3947,1.3851,0.0096
1.3946,1.3851,0.0095
1.3946,1.3851,0.0095
1.3945,1.3851,0.0094
1.3945,1.3851,0.0094
1.3945,1.3851,0.0094
1.3944,1.3851,0.0093
1.3944,1.3851,0.0093
1.3943,1.3851,0.0093
