total_loss,domain_loss,src_cls_loss
1.4454,1.3795,0.0659
1.4061,1.3726,0.0335
1.4447,1.3803,0.0643
1.4264,1.378,0.0484
1.4212,1.3784,0.0428
1.4147,1.3789,0.0358
1.4179,1.3808,0.0371
1.4213,1.3815,0.0398
1.4172,1.3816,0.0356
1.4332,1.3826,0.0507
1.432,1.3827,0.0493
1.428,1.3827,0.0453
1.4247,1.3828,0.0418
1.422,1.3832,0.0389
1.4192,1.383,0.0363
1.4172,1.3832,0.034
1.4141,1.3821,0.032
1.4125,1.3822,0.0304
1.4112,1.382,0.0292
1.4095,1.3818,0.0277
1.4108,1.3819,0.0289
1.4133,1.3822,0.031
1.4188,1.3821,0.0367
1.4183,1.3818,0.0365
1.4174,1.382,0.0354
1.4158,1.3815,0.0343
1.4172,1.3815,0.0358
1.4162,1.3811,0.0351
1.4151,1.3811,0.0339
1.4139,1.3811,0.0328
1.4128,1.3811,0.0318
1.4119,1.3809,0.0309
1.4116,1.3812,0.0304
1.4108,1.3812,0.0296
1.4109,1.3813,0.0296
1.4115,1.3815,0.0299
1.4115,1.3816,0.0299
1.4109,1.3817,0.0292
1.4115,1.3817,0.0298
1.4111,1.3817,0.0294
1.4124,1.3816,0.0308
1.4121,1.3818,0.0303
1.4118,1.382,0.0299
1.4112,1.382,0.0292
1.4107,1.3821,0.0286
1.41,1.382,0.028
1.4095,1.3821,0.0274
1.4089,1.3821,0.0268
1.4084,1.3821,0.0263
1.408,1.3822,0.0258
1.4075,1.3822,0.0253
1.4081,1.3821,0.0261
1.4082,1.3822,0.026
1.4086,1.3822,0.0264
1.4086,1.3823,0.0263
1.4097,1.3823,0.0274
1.41,1.3824,0.0276
1.4096,1.3823,0.0272
1.4092,1.3824,0.0268
1.4088,1.3824,0.0264
1.4084,1.3824,0.026
1.4081,1.3825,0.0256
1.4076,1.3824,0.0252
1.4073,1.3825,0.0248
1.4072,1.3827,0.0245
1.4068,1.3827,0.0241
1.4076,1.3827,0.0249
1.4072,1.3825,0.0247
1.4068,1.3824,0.0244
1.4066,1.3825,0.0241
1.4064,1.3826,0.0239
1.4063,1.3826,0.0237
1.4062,1.3826,0.0235
1.4057,1.3825,0.0232
1.4054,1.3824,0.0229
1.4051,1.3825,0.0227
1.4049,1.3825,0.0224
1.4046,1.3826,0.0221
1.4046,1.3825,0.0221
