total_loss,domain_loss,src_cls_loss
1.4401,1.3542,0.086
1.4259,1.3608,0.0651
1.424,1.3621,0.0619
1.4287,1.3538,0.075
1.421,1.3528,0.0682
1.4114,1.3514,0.06
1.4171,1.3559,0.0612
1.4148,1.3579,0.057
1.4121,1.3592,0.0528
1.4121,1.3601,0.052
1.4095,1.3604,0.049
1.41,1.3593,0.0507
1.4071,1.3578,0.0493
1.4048,1.3573,0.0475
1.4063,1.3594,0.0469
1.4051,1.3594,0.0457
1.4033,1.3578,0.0455
1.4045,1.3601,0.0444
1.4063,1.361,0.0453
1.4079,1.3618,0.0462
1.4069,1.3614,0.0455
1.4077,1.3628,0.0448
1.4059,1.3626,0.0433
1.4057,1.3634,0.0423
1.4056,1.3647,0.0408
1.4068,1.3652,0.0416
1.4062,1.3658,0.0403
1.405,1.3659,0.0392
1.4036,1.3656,0.038
1.4044,1.3655,0.039
1.4034,1.3656,0.0378
1.4028,1.3662,0.0367
1.4044,1.3661,0.0383
1.4045,1.3663,0.0382
1.4042,1.3669,0.0373
1.4056,1.3676,0.0379
1.4056,1.3676,0.0379
1.4045,1.367,0.0375
1.4033,1.3663,0.037
1.4023,1.366,0.0363
1.4016,1.3662,0.0355
1.4009,1.3659,0.035
1.4013,1.3662,0.035
1.4012,1.3669,0.0344
1.4013,1.3675,0.0338
1.4005,1.3674,0.0331
1.4018,1.3675,0.0343
1.4021,1.3678,0.0343
1.4023,1.3683,0.034
1.4023,1.3682,0.0342
1.4019,1.3683,0.0336
1.4013,1.3682,0.033
1.4011,1.3684,0.0327
1.4007,1.3673,0.0334
1.4003,1.3674,0.0329
1.4012,1.3678,0.0335
1.4001,1.3671,0.033
1.4007,1.3673,0.0335
1.4009,1.3678,0.0331
1.4012,1.3684,0.0328
1.4012,1.3683,0.033
1.4012,1.3686,0.0326
1.4021,1.369,0.0331
1.4035,1.3695,0.034
1.4031,1.3694,0.0337
1.4038,1.3694,0.0344
1.4039,1.3697,0.0342
1.4037,1.3699,0.0338
1.4037,1.3701,0.0336
1.4033,1.3701,0.0332
1.4031,1.3693,0.0338
1.4031,1.3695,0.0336
1.4038,1.3695,0.0343
1.4037,1.3693,0.0343
1.4035,1.3692,0.0344
1.4038,1.3693,0.0345
1.404,1.3695,0.0344
1.4035,1.3691,0.0343
1.4032,1.3691,0.0341
1.4032,1.3694,0.0338
1.4031,1.3696,0.0334
1.4025,1.3694,0.0331
1.403,1.3696,0.0334
1.4034,1.37,0.0334
1.4033,1.3701,0.0332
1.4027,1.3698,0.033
1.4029,1.37,0.0329
1.4031,1.37,0.0331
1.4029,1.3699,0.033
1.4023,1.3696,0.0327
1.4021,1.3694,0.0327
1.4014,1.3689,0.0325
1.4018,1.3689,0.0329
1.4015,1.3688,0.0327
1.4018,1.3688,0.033
1.4013,1.3681,0.0332
1.4007,1.3677,0.033
1.4011,1.3681,0.033
1.4022,1.368,0.0341
1.4023,1.3684,0.0339
1.4017,1.3681,0.0336
1.4015,1.368,0.0335
1.4011,1.3677,0.0334
1.401,1.3677,0.0333
1.4013,1.3681,0.0332
1.4011,1.368,0.0331
1.4013,1.3683,0.033
1.4011,1.3681,0.0329
1.4014,1.3681,0.0332
1.4014,1.368,0.0333
1.4015,1.3681,0.0334
1.4015,1.3683,0.0333
1.4022,1.3682,0.034
1.4021,1.3682,0.0339
1.4023,1.3685,0.0338
1.4023,1.3687,0.0336
1.4024,1.3688,0.0336
1.402,1.3686,0.0333
1.4016,1.3685,0.0331
1.4016,1.3687,0.0329
1.4015,1.3688,0.0327
1.401,1.3686,0.0324
1.4006,1.3684,0.0321
1.4003,1.3684,0.032
1.3999,1.3682,0.0318
1.3998,1.3682,0.0316
1.3995,1.3681,0.0314
1.3991,1.3678,0.0313
1.3985,1.3675,0.031
1.3984,1.3677,0.0308
1.3984,1.3676,0.0308
1.3981,1.3675,0.0306
1.3979,1.3675,0.0304
1.3977,1.3671,0.0305
1.3974,1.3671,0.0304
1.3974,1.3673,0.0302
1.3972,1.3671,0.0301
1.3971,1.3671,0.0299
1.397,1.3672,0.0297
1.397,1.3674,0.0295
1.3967,1.3673,0.0294
1.3965,1.3673,0.0292
1.3962,1.367,0.0291
1.3963,1.3672,0.0291
1.3963,1.3673,0.029
1.3962,1.3672,0.029
1.3961,1.3671,0.029
1.3958,1.3669,0.0289
1.3958,1.3671,0.0287
1.3955,1.367,0.0285
1.3954,1.367,0.0284
1.3951,1.3669,0.0282
1.3949,1.3669,0.028
1.3947,1.3668,0.0279
1.3947,1.367,0.0277
1.3947,1.3671,0.0276
1.3947,1.3672,0.0275
1.3945,1.3673,0.0273
1.3944,1.3672,0.0271
1.3943,1.3671,0.0273
1.3944,1.3673,0.0271
1.3943,1.3672,0.027
1.3939,1.3668,0.0271
1.3937,1.3667,0.027
1.394,1.3669,0.0271
1.3939,1.367,0.027
1.3939,1.3671,0.0268
1.3938,1.3671,0.0267
1.3936,1.367,0.0266
1.3937,1.3671,0.0267
1.3938,1.3671,0.0267
1.3936,1.3671,0.0266
1.3932,1.3668,0.0264
1.3927,1.3664,0.0263
1.3927,1.3664,0.0263
1.3925,1.3663,0.0261
1.3924,1.3664,0.026
1.392,1.3662,0.0259
1.3917,1.3659,0.0257
1.3913,1.3657,0.0257
1.3909,1.3654,0.0255
1.3906,1.3652,0.0254
1.3903,1.365,0.0253
1.3902,1.365,0.0252
1.3899,1.3649,0.025
1.3898,1.3648,0.0249
1.3896,1.3648,0.0248
1.3894,1.3647,0.0247
1.3893,1.3647,0.0246
1.3889,1.3645,0.0245
1.3888,1.3644,0.0244
1.389,1.3645,0.0244
1.389,1.3644,0.0246
1.3888,1.3643,0.0244
1.3882,1.3639,0.0243
1.388,1.3638,0.0242
1.3879,1.3639,0.0241
1.3878,1.3638,0.024
1.3877,1.3638,0.0239
1.3875,1.3637,0.0238
1.3874,1.3637,0.0237
1.3873,1.3636,0.0237
1.3872,1.3636,0.0236
1.3871,1.3636,0.0235
1.387,1.3635,0.0235
1.3869,1.3635,0.0234
1.3869,1.3635,0.0234
1.3867,1.3634,0.0233
1.3866,1.3634,0.0233
1.3864,1.3632,0.0232
1.3862,1.3631,0.0231
1.3862,1.3632,0.023
1.3861,1.3632,0.0229
1.3861,1.3633,0.0228
1.3861,1.3633,0.0228
1.386,1.3633,0.0227
1.386,1.3634,0.0226
1.3859,1.3634,0.0225
1.3859,1.3636,0.0224
1.3865,1.3635,0.023
1.3863,1.3634,0.023
1.3863,1.3634,0.0229
1.3863,1.3635,0.0228
1.3863,1.3636,0.0227
1.3861,1.3635,0.0226
1.3861,1.3636,0.0225
1.3859,1.3634,0.0225
1.3857,1.3633,0.0224
1.3856,1.3633,0.0223
1.3856,1.3633,0.0222
1.3862,1.3633,0.0229
1.3861,1.3633,0.0228
1.3863,1.3635,0.0228
1.3863,1.3635,0.0228
1.3862,1.3635,0.0228
1.3862,1.3635,0.0227
