total_loss,domain_loss,src_cls_loss
1.4471,1.3824,0.0647
1.4361,1.3839,0.0522
1.4165,1.3801,0.0364
1.4054,1.378,0.0274
1.4061,1.3785,0.0276
1.4038,1.3783,0.0254
1.3994,1.3775,0.0219
1.4101,1.3763,0.0339
1.4063,1.374,0.0323
1.406,1.3769,0.0291
1.4058,1.3749,0.0309
1.4198,1.3752,0.0447
1.4172,1.3752,0.042
1.4158,1.3766,0.0392
1.4137,1.3771,0.0366
1.4118,1.3774,0.0344
1.4107,1.3783,0.0324
1.425,1.3783,0.0468
1.4247,1.3785,0.0462
1.4229,1.379,0.044
1.421,1.379,0.042
1.4207,1.3793,0.0414
1.419,1.3794,0.0396
1.4172,1.3792,0.038
1.4161,1.3796,0.0365
1.415,1.3799,0.0351
1.4139,1.3802,0.0338
1.4127,1.3801,0.0326
1.4118,1.3803,0.0315
1.4111,1.3807,0.0304
1.4155,1.3808,0.0347
1.4146,1.3806,0.034
1.4139,1.3805,0.0334
1.4128,1.3804,0.0324
1.4118,1.3803,0.0315
1.4109,1.3802,0.0307
1.4101,1.3802,0.0299
1.4089,1.3798,0.0291
1.4095,1.38,0.0295
1.409,1.38,0.029
1.4095,1.38,0.0296
1.4102,1.38,0.0302
1.4097,1.3801,0.0296
1.409,1.3801,0.0289
1.4086,1.3803,0.0283
1.4081,1.3804,0.0277
1.4077,1.3806,0.0271
1.4072,1.3807,0.0265
1.4069,1.3809,0.026
1.4064,1.381,0.0255
1.4061,1.3811,0.025
1.4056,1.3811,0.0246
1.4052,1.3811,0.0241
1.4048,1.3812,0.0237
1.4045,1.3812,0.0232
1.4042,1.3814,0.0228
1.4039,1.3815,0.0224
1.4034,1.3813,0.022
1.4031,1.3814,0.0217
1.405,1.3815,0.0235
1.4047,1.3815,0.0231
1.4044,1.3815,0.0228
1.4045,1.3816,0.0229
1.4042,1.3817,0.0225
1.4038,1.3816,0.0222
1.4037,1.3818,0.0219
1.4034,1.3819,0.0215
1.4031,1.3819,0.0212
1.4028,1.3819,0.0209
1.4024,1.3818,0.0206
1.4021,1.3817,0.0203
1.4018,1.3818,0.02
1.4015,1.3818,0.0198
1.4012,1.3817,0.0195
1.4011,1.3819,0.0193
1.401,1.382,0.019
1.4007,1.3819,0.0188
1.4005,1.382,0.0185
1.4034,1.3819,0.0215
1.4032,1.382,0.0212
1.403,1.382,0.0209
1.4027,1.382,0.0207
1.4024,1.382,0.0204
1.4021,1.3819,0.0202
1.4019,1.3819,0.02
1.4016,1.3819,0.0197
1.4014,1.3819,0.0195
1.4023,1.3819,0.0205
1.4018,1.3816,0.0202
1.4017,1.3817,0.02
1.4013,1.3815,0.0198
1.4011,1.3816,0.0196
1.4008,1.3814,0.0194
1.4007,1.3816,0.0192
1.4005,1.3816,0.019
1.4004,1.3816,0.0188
1.4002,1.3816,0.0186
1.4,1.3816,0.0184
1.3999,1.3817,0.0182
1.3997,1.3817,0.018
1.3994,1.3815,0.0178
1.3993,1.3816,0.0177
1.3992,1.3817,0.0175
1.3989,1.3816,0.0173
1.3987,1.3816,0.0172
1.3985,1.3815,0.017
1.3983,1.3814,0.0169
1.3983,1.3816,0.0167
1.4005,1.3816,0.0189
1.4005,1.3817,0.0188
1.4004,1.3817,0.0186
1.4003,1.3818,0.0185
1.4001,1.3818,0.0183
1.4003,1.3817,0.0186
1.4002,1.3817,0.0185
1.4017,1.3818,0.0198
1.4015,1.3819,0.0197
1.4014,1.3819,0.0195
1.4012,1.3819,0.0194
1.4011,1.3819,0.0192
1.401,1.3819,0.0191
1.4008,1.3818,0.0189
1.4006,1.3817,0.0189
1.4005,1.3817,0.0188
1.4004,1.3817,0.0186
1.4003,1.3818,0.0185
1.4002,1.3818,0.0184
1.4001,1.3819,0.0183
1.4,1.3818,0.0181
1.3998,1.3818,0.018
1.3997,1.3819,0.0179
1.4005,1.3819,0.0186
1.4003,1.3819,0.0184
1.4002,1.3819,0.0183
1.4001,1.3819,0.0182
1.4,1.3819,0.0181
1.3998,1.3819,0.0179
1.3997,1.3819,0.0178
1.3996,1.3819,0.0177
1.3995,1.382,0.0176
1.3994,1.382,0.0174
1.3994,1.382,0.0173
1.3999,1.3821,0.0179
1.3998,1.3821,0.0178
1.3997,1.382,0.0177
1.3996,1.382,0.0175
1.3994,1.3819,0.0174
1.3993,1.3819,0.0173
1.3992,1.382,0.0172
1.3991,1.382,0.0171
1.399,1.382,0.017
1.3989,1.3821,0.0169
1.3988,1.382,0.0168
1.3987,1.382,0.0167
1.3986,1.3821,0.0166
1.3985,1.3821,0.0165
1.3984,1.3821,0.0164
1.3984,1.3821,0.0163
1.3982,1.3821,0.0162
1.3982,1.3821,0.0161
1.398,1.3821,0.016
1.3979,1.3821,0.0159
1.3979,1.3821,0.0158
1.3978,1.3821,0.0157
1.3976,1.382,0.0156
1.3975,1.382,0.0155
1.3974,1.3821,0.0154
1.3974,1.3821,0.0153
1.3971,1.3819,0.0152
1.3972,1.3821,0.0151
1.3971,1.382,0.015
1.397,1.382,0.015
1.3968,1.382,0.0149
1.3967,1.3819,0.0148
1.3966,1.3819,0.0147
1.3967,1.382,0.0147
1.3965,1.3819,0.0146
1.3964,1.3819,0.0146
1.3966,1.382,0.0147
1.3965,1.382,0.0146
1.3965,1.382,0.0145
1.3965,1.382,0.0144
1.3964,1.3821,0.0144
1.3963,1.382,0.0143
1.3962,1.382,0.0142
1.3962,1.382,0.0142
1.3961,1.382,0.0141
1.396,1.382,0.014
1.3959,1.382,0.014
1.3959,1.382,0.0139
1.3957,1.3819,0.0138
1.3957,1.3819,0.0138
1.3957,1.382,0.0137
1.3956,1.382,0.0136
1.3955,1.382,0.0135
1.3954,1.3819,0.0135
1.3953,1.3819,0.0134
1.3952,1.3819,0.0133
1.3951,1.3818,0.0133
1.395,1.3817,0.0132
1.3949,1.3818,0.0132
1.3949,1.3818,0.0131
1.3949,1.3818,0.013
1.3947,1.3818,0.013
1.3948,1.3819,0.0129
1.3947,1.3818,0.0128
1.3946,1.3818,0.0128
1.3946,1.3818,0.0128
1.3945,1.3818,0.0127
1.3945,1.3818,0.0127
1.3944,1.3818,0.0126
1.3944,1.3818,0.0126
1.3943,1.3818,0.0125
1.3941,1.3817,0.0124
1.3942,1.3818,0.0124
1.394,1.3817,0.0123
1.394,1.3817,0.0123
1.394,1.3818,0.0122
1.3939,1.3817,0.0122
1.3938,1.3817,0.0121
1.3938,1.3818,0.012
1.3939,1.3819,0.012
1.3938,1.3819,0.0119
1.3938,1.3819,0.0119
1.3937,1.3819,0.0118
1.3936,1.3818,0.0118
1.3935,1.3818,0.0117
1.3934,1.3818,0.0117
1.3933,1.3817,0.0116
1.3933,1.3817,0.0116
1.3933,1.3817,0.0115
1.3932,1.3817,0.0115
1.3932,1.3817,0.0114
1.3931,1.3817,0.0114
1.3931,1.3818,0.0113
1.3931,1.3818,0.0113
1.393,1.3818,0.0112
1.393,1.3818,0.0112
1.3929,1.3818,0.0112
1.3929,1.3818,0.0111
1.3928,1.3818,0.0111
1.3928,1.3818,0.011
1.3927,1.3818,0.011
1.3927,1.3818,0.0109
1.3927,1.3818,0.0109
1.3926,1.3818,0.0108
1.3926,1.3818,0.0108
1.3925,1.3818,0.0107
1.3925,1.3818,0.0107
1.3924,1.3818,0.0107
1.3924,1.3818,0.0106
1.3924,1.3818,0.0106
1.3923,1.3818,0.0106
1.3923,1.3818,0.0105
1.3923,1.3818,0.0105
1.3922,1.3818,0.0104
1.3922,1.3818,0.0104
1.3922,1.3818,0.0104
1.3921,1.3818,0.0103
1.3921,1.3818,0.0103
1.392,1.3818,0.0102
1.392,1.3818,0.0102
1.3927,1.3818,0.0109
1.3926,1.3817,0.0109
1.3925,1.3817,0.0108
1.3925,1.3817,0.0108
1.3924,1.3817,0.0108
1.3922,1.3815,0.0107
1.3922,1.3815,0.0107
1.3922,1.3815,0.0107
1.392,1.3814,0.0106
1.3919,1.3813,0.0106
1.3919,1.3813,0.0105
1.3918,1.3813,0.0105
1.3917,1.3813,0.0105
1.3917,1.3813,0.0104
1.3917,1.3813,0.0104
1.3916,1.3813,0.0104
1.3916,1.3813,0.0103
1.3916,1.3813,0.0103
1.3915,1.3813,0.0103
1.3915,1.3812,0.0102
1.3914,1.3812,0.0102
1.3914,1.3812,0.0102
1.3914,1.3812,0.0101
1.3913,1.3812,0.0101
1.3912,1.3812,0.0101
1.3911,1.3811,0.01
1.3911,1.3811,0.01
1.391,1.381,0.01
1.391,1.381,0.0099
1.391,1.3811,0.0099
1.391,1.3811,0.0099
1.391,1.3811,0.0098
1.391,1.3812,0.0098
1.3909,1.3811,0.0098
1.3909,1.3812,0.0097
1.3908,1.3811,0.0097
1.3908,1.3811,0.0097
1.3914,1.3812,0.0103
1.3914,1.3811,0.0102
1.3914,1.3812,0.0102
1.3913,1.3812,0.0102
1.3913,1.3812,0.0101
1.3913,1.3812,0.0101
1.3913,1.3812,0.0101
1.3913,1.3812,0.0101
1.3916,1.3812,0.0104
1.3915,1.3812,0.0103
1.3915,1.3812,0.0103
1.3915,1.3812,0.0103
1.3914,1.3812,0.0102
1.3914,1.3812,0.0102
1.3914,1.3812,0.0102
1.3914,1.3812,0.0101
1.3913,1.3812,0.0101
1.3913,1.3813,0.0101
1.3913,1.3812,0.01
1.3912,1.3812,0.01
1.3912,1.3812,0.01
1.3911,1.3812,0.01
1.3911,1.3812,0.0099
