total_loss,domain_loss,src_cls_loss
1.4214,1.3783,0.043
1.4662,1.3738,0.0923
1.4421,1.3774,0.0647
1.4271,1.3734,0.0537
1.4209,1.3754,0.0454
1.4144,1.376,0.0384
1.4161,1.3778,0.0383
1.4173,1.3785,0.0389
1.4189,1.3801,0.0388
1.4159,1.3803,0.0357
1.4134,1.3803,0.0331
1.41,1.3795,0.0305
1.4084,1.3802,0.0282
1.4065,1.3801,0.0264
1.412,1.3808,0.0312
1.4131,1.3803,0.0328
1.4137,1.38,0.0337
1.4125,1.3805,0.032
1.4112,1.3807,0.0305
1.4122,1.3803,0.0319
1.4116,1.3802,0.0314
1.4109,1.3808,0.0301
1.4093,1.3805,0.0288
1.4093,1.3805,0.0288
1.4094,1.3805,0.0288
1.4113,1.3809,0.0304
1.4098,1.3805,0.0293
1.4091,1.3808,0.0283
1.4082,1.3809,0.0273
1.4075,1.3811,0.0264
1.4076,1.3811,0.0265
1.4095,1.381,0.0285
1.4094,1.3811,0.0283
1.4091,1.3812,0.0278
1.4083,1.3812,0.0271
1.4076,1.3812,0.0264
1.4071,1.3812,0.0259
1.4079,1.3814,0.0265
1.4076,1.3816,0.026
1.4073,1.3818,0.0255
1.4069,1.3819,0.025
1.4075,1.382,0.0255
1.407,1.382,0.025
1.4066,1.3822,0.0244
1.4063,1.3823,0.0239
1.4062,1.3824,0.0237
1.4058,1.3825,0.0232
1.406,1.3826,0.0234
1.4061,1.3826,0.0235
1.4056,1.3826,0.023
1.4054,1.3828,0.0226
1.4048,1.3826,0.0222
1.4058,1.3827,0.0231
1.4056,1.3828,0.0228
1.4055,1.3829,0.0226
1.4062,1.383,0.0233
1.4057,1.3828,0.0229
1.4056,1.383,0.0225
1.4053,1.3831,0.0222
1.405,1.3832,0.0218
1.4049,1.3833,0.0215
1.4047,1.3835,0.0212
1.4043,1.3834,0.0209
1.4041,1.3835,0.0206
1.4036,1.3834,0.0202
1.4034,1.3835,0.0199
1.4034,1.3837,0.0197
1.403,1.3835,0.0194
1.4037,1.3837,0.02
1.4043,1.3838,0.0205
1.404,1.3838,0.0202
1.4038,1.3838,0.0199
1.4039,1.3839,0.0199
1.405,1.384,0.021
1.4049,1.384,0.0209
1.4045,1.3839,0.0206
1.4044,1.384,0.0204
1.4042,1.3841,0.0201
1.4039,1.3841,0.0198
1.4045,1.3841,0.0204
1.4046,1.3841,0.0205
1.4045,1.3842,0.0203
1.4042,1.3841,0.0201
1.4039,1.3841,0.0198
1.4038,1.3842,0.0197
1.4036,1.3842,0.0195
1.4034,1.3842,0.0193
1.4033,1.3841,0.0192
1.4034,1.3841,0.0193
1.4039,1.3841,0.0199
1.4037,1.384,0.0197
1.4036,1.3841,0.0195
1.4034,1.3841,0.0193
1.4031,1.384,0.0191
