total_loss,domain_loss,src_cls_loss
1.4434,1.3739,0.0696
1.4171,1.3808,0.0363
1.4262,1.3776,0.0485
1.4473,1.3741,0.0732
1.4334,1.373,0.0604
1.4254,1.3748,0.0507
1.4184,1.375,0.0434
1.4135,1.3753,0.0382
1.4102,1.3763,0.034
1.409,1.3766,0.0324
1.4125,1.375,0.0375
1.4099,1.3746,0.0353
1.4098,1.3756,0.0341
1.4093,1.3755,0.0338
1.4115,1.3763,0.0352
1.4101,1.3769,0.0332
1.4079,1.3766,0.0313
1.4072,1.3765,0.0307
1.408,1.3772,0.0308
1.407,1.3777,0.0293
1.4067,1.3775,0.0292
1.4054,1.3772,0.0281
1.4041,1.3772,0.0269
1.4046,1.3775,0.027
1.4049,1.3777,0.0271
1.4043,1.3776,0.0266
1.4037,1.378,0.0257
1.404,1.3787,0.0253
1.4031,1.3787,0.0245
1.4032,1.3788,0.0243
1.4031,1.3791,0.024
1.4026,1.3793,0.0233
1.4044,1.3793,0.025
1.4046,1.3799,0.0247
1.4042,1.3801,0.0241
1.4052,1.38,0.0252
1.4048,1.3797,0.025
1.4042,1.3798,0.0244
1.4037,1.3799,0.0238
1.4033,1.3801,0.0232
1.4038,1.3802,0.0237
1.4036,1.3805,0.0231
1.4032,1.3806,0.0226
1.4028,1.3807,0.0221
1.4023,1.3806,0.0217
1.4022,1.3808,0.0214
1.4019,1.381,0.021
1.402,1.381,0.021
1.4029,1.3811,0.0217
1.4026,1.3811,0.0214
1.402,1.381,0.021
1.4019,1.3813,0.0206
1.401,1.3807,0.0202
1.4007,1.3809,0.0198
1.4007,1.3811,0.0196
1.4003,1.381,0.0193
1.4004,1.3811,0.0193
1.4006,1.381,0.0196
1.4009,1.3814,0.0195
1.4006,1.3814,0.0192
1.4003,1.3814,0.0189
1.3999,1.3813,0.0186
1.4003,1.3816,0.0187
1.4002,1.3816,0.0185
1.4004,1.3817,0.0188
1.4004,1.3817,0.0187
1.4002,1.3818,0.0184
1.4002,1.3818,0.0183
1.4006,1.382,0.0186
1.4005,1.3821,0.0185
1.4003,1.3821,0.0182
1.4001,1.3821,0.0179
1.3999,1.3821,0.0177
1.3996,1.3821,0.0175
1.3992,1.382,0.0173
1.3992,1.3821,0.017
1.399,1.3822,0.0168
1.3989,1.3823,0.0166
1.3987,1.3823,0.0164
1.3985,1.3824,0.0162
1.3984,1.3825,0.016
1.3986,1.3825,0.0161
1.3992,1.3824,0.0168
1.3992,1.3825,0.0167
1.3991,1.3824,0.0168
1.3989,1.3823,0.0166
1.3988,1.3823,0.0164
1.3986,1.3824,0.0162
1.3985,1.3823,0.0162
1.3983,1.3823,0.016
1.3982,1.3824,0.0158
1.3981,1.3824,0.0157
1.3979,1.3824,0.0155
1.3978,1.3825,0.0153
1.3977,1.3825,0.0152
1.3976,1.3826,0.015
1.3974,1.3826,0.0149
1.3973,1.3826,0.0147
1.3973,1.3827,0.0146
1.3972,1.3827,0.0144
1.3971,1.3828,0.0143
1.397,1.3828,0.0143
1.397,1.3828,0.0142
1.3968,1.3827,0.0141
1.3966,1.3827,0.0139
1.3966,1.3827,0.0138
1.3965,1.3828,0.0137
1.3964,1.3828,0.0136
1.3963,1.3828,0.0134
