total_loss,domain_loss,src_cls_loss
1.4643,1.3805,0.0838
1.4268,1.382,0.0448
1.4182,1.382,0.0362
1.461,1.381,0.08
1.4564,1.3813,0.0751
1.4509,1.3782,0.0727
1.4519,1.3791,0.0727
1.4486,1.3808,0.0679
1.4421,1.3811,0.0609
1.4386,1.3814,0.0572
1.4359,1.382,0.0539
1.4313,1.3814,0.0499
1.4285,1.3809,0.0476
1.4278,1.3801,0.0477
1.4351,1.3814,0.0537
1.4351,1.3817,0.0533
1.4392,1.382,0.0572
1.4382,1.3821,0.0561
1.4402,1.3824,0.0578
1.4374,1.382,0.0554
1.4363,1.3823,0.0539
1.4341,1.3824,0.0517
1.4321,1.3826,0.0495
1.4303,1.3828,0.0475
1.4287,1.3831,0.0456
1.4306,1.3832,0.0475
1.4307,1.3832,0.0476
1.4311,1.3827,0.0483
1.4311,1.383,0.0481
1.4313,1.383,0.0483
1.4315,1.3832,0.0483
1.4304,1.3832,0.0472
1.4291,1.3833,0.0459
1.4296,1.3834,0.0462
1.4301,1.3835,0.0466
1.4298,1.3834,0.0463
1.4292,1.3836,0.0456
1.4289,1.3837,0.0452
1.4288,1.3837,0.0451
1.4281,1.3837,0.0444
1.4278,1.3839,0.044
1.4276,1.3838,0.0437
1.4273,1.384,0.0433
1.4273,1.3838,0.0435
1.427,1.3839,0.0431
1.4264,1.3838,0.0426
1.4259,1.384,0.0419
1.4252,1.3839,0.0413
1.4242,1.3837,0.0405
1.4234,1.3836,0.0397
1.4246,1.3838,0.0408
1.424,1.3838,0.0402
1.4237,1.3839,0.0398
1.4231,1.3839,0.0392
1.4225,1.3838,0.0387
1.4233,1.3838,0.0395
1.4246,1.3839,0.0407
1.4245,1.384,0.0405
1.4235,1.3835,0.04
1.4246,1.3838,0.0407
1.4241,1.384,0.0401
1.4238,1.384,0.0398
1.4236,1.3839,0.0397
1.4239,1.3837,0.0402
1.4239,1.3838,0.0401
1.4235,1.3839,0.0396
1.423,1.3838,0.0392
1.423,1.3839,0.0391
1.4229,1.3839,0.039
1.4231,1.3839,0.0392
1.4227,1.3839,0.0387
1.4233,1.3839,0.0394
1.423,1.3839,0.0391
1.4226,1.3839,0.0386
1.4222,1.384,0.0382
1.4217,1.3839,0.0378
1.4215,1.3838,0.0376
1.4215,1.3838,0.0377
1.4216,1.3838,0.0378
1.4213,1.3838,0.0375
1.421,1.3837,0.0373
1.4216,1.3838,0.0378
1.4212,1.3836,0.0375
1.4209,1.3836,0.0373
1.4204,1.3835,0.037
1.4204,1.3835,0.0369
1.4202,1.3837,0.0365
1.4198,1.3835,0.0362
1.4195,1.3836,0.0359
1.4192,1.3837,0.0355
1.4188,1.3836,0.0352
1.4186,1.3836,0.0351
1.4184,1.3837,0.0347
1.4178,1.3835,0.0343
1.4175,1.3835,0.034
1.4172,1.3836,0.0337
1.4172,1.3835,0.0337
1.4171,1.3836,0.0335
1.4167,1.3834,0.0333
1.4165,1.3835,0.0329
1.4161,1.3834,0.0327
1.4158,1.3834,0.0323
1.4155,1.3834,0.0321
1.4152,1.3834,0.0318
1.4149,1.3834,0.0315
1.4146,1.3834,0.0312
1.4144,1.3835,0.0309
1.4141,1.3835,0.0306
1.4137,1.3834,0.0303
1.4135,1.3835,0.0301
1.4133,1.3836,0.0298
1.4131,1.3836,0.0295
1.4127,1.3834,0.0293
1.4125,1.3835,0.029
1.4122,1.3835,0.0288
1.4119,1.3834,0.0285
1.4117,1.3834,0.0283
1.4113,1.3833,0.028
1.4114,1.3834,0.028
1.4112,1.3833,0.0279
1.411,1.3833,0.0277
1.4108,1.3832,0.0276
1.4108,1.3834,0.0274
1.4108,1.3834,0.0274
1.4114,1.3833,0.0281
1.4113,1.3833,0.0279
1.4111,1.3834,0.0277
1.411,1.3834,0.0275
1.4107,1.3834,0.0273
1.4105,1.3834,0.0271
1.4104,1.3834,0.0269
1.4101,1.3834,0.0267
1.4099,1.3834,0.0265
1.41,1.3834,0.0266
1.4099,1.3834,0.0265
1.41,1.3835,0.0265
1.4098,1.3835,0.0263
1.4097,1.3835,0.0262
1.4094,1.3834,0.026
1.4092,1.3834,0.0258
1.409,1.3834,0.0256
1.4088,1.3834,0.0255
1.4087,1.3834,0.0253
1.4085,1.3834,0.0251
1.4083,1.3834,0.0249
1.4081,1.3833,0.0248
1.4079,1.3833,0.0246
1.4077,1.3833,0.0244
1.4075,1.3832,0.0243
1.4073,1.3832,0.0241
1.4073,1.3833,0.024
1.4072,1.3832,0.0239
1.407,1.3833,0.0237
1.4069,1.3833,0.0236
1.407,1.3833,0.0237
1.4068,1.3833,0.0235
1.4066,1.3832,0.0234
1.4065,1.3833,0.0232
1.4064,1.3833,0.0231
1.4063,1.3833,0.023
1.4061,1.3833,0.0228
1.4059,1.3832,0.0227
1.4059,1.3833,0.0227
1.4061,1.3833,0.0228
1.406,1.3833,0.0227
1.4058,1.3832,0.0225
1.4056,1.3832,0.0224
1.4055,1.3832,0.0223
1.4055,1.3833,0.0222
1.4053,1.3833,0.022
1.4052,1.3833,0.0219
1.405,1.3832,0.0218
1.4049,1.3832,0.0217
1.4047,1.3831,0.0216
1.4046,1.3831,0.0214
1.4045,1.3832,0.0213
1.4044,1.3832,0.0212
1.4042,1.3831,0.0211
1.4041,1.3832,0.021
1.404,1.3832,0.0209
1.4038,1.3831,0.0207
1.4037,1.383,0.0206
1.4038,1.3831,0.0207
1.4037,1.3831,0.0206
1.4037,1.3832,0.0205
1.4035,1.3831,0.0204
1.4035,1.3831,0.0203
1.4034,1.3832,0.0202
1.4033,1.3832,0.0201
1.4035,1.3832,0.0203
1.4033,1.3831,0.0202
1.4033,1.3832,0.0201
1.4031,1.3831,0.02
1.4031,1.3832,0.0199
1.403,1.3832,0.0198
1.4029,1.3832,0.0197
1.4027,1.3831,0.0196
1.4026,1.3831,0.0195
1.4025,1.3831,0.0194
1.4024,1.383,0.0193
1.4023,1.3831,0.0192
1.4022,1.383,0.0191
1.4021,1.383,0.0191
1.402,1.3831,0.019
1.402,1.3831,0.0189
1.4019,1.3831,0.0188
1.4019,1.3831,0.0187
1.4018,1.3831,0.0187
1.4017,1.3832,0.0186
1.4016,1.3832,0.0185
1.4016,1.3832,0.0184
1.4015,1.3832,0.0183
1.4013,1.3831,0.0182
1.4013,1.3832,0.0181
1.4013,1.3832,0.0181
1.4012,1.3832,0.018
1.4012,1.3832,0.018
1.4011,1.3832,0.0179
1.401,1.3832,0.0178
1.4009,1.3831,0.0177
1.4009,1.3832,0.0177
1.4008,1.3831,0.0177
1.4008,1.3832,0.0176
1.4007,1.3832,0.0175
1.4006,1.3831,0.0175
1.4006,1.3832,0.0174
1.4005,1.3831,0.0173
1.4003,1.383,0.0172
1.4002,1.383,0.0172
1.4001,1.383,0.0171
1.4001,1.383,0.017
1.4,1.383,0.0169
1.4,1.3831,0.0169
1.3999,1.3831,0.0168
1.3998,1.3831,0.0167
1.3997,1.3831,0.0167
1.3997,1.3831,0.0166
1.3997,1.3831,0.0165
1.3996,1.3831,0.0165
1.3996,1.3832,0.0164
1.3995,1.3832,0.0163
1.3994,1.3832,0.0163
1.3994,1.3832,0.0162
1.3993,1.3832,0.0161
1.3993,1.3832,0.0161
1.3992,1.3832,0.016
1.3991,1.3832,0.0159
1.399,1.3832,0.0159
1.3988,1.383,0.0158
1.3988,1.3831,0.0157
1.3985,1.3828,0.0157
1.3985,1.3828,0.0157
1.3985,1.3828,0.0157
1.3983,1.3827,0.0156
1.3983,1.3828,0.0155
1.3983,1.3828,0.0155
1.3982,1.3828,0.0154
1.3981,1.3828,0.0154
1.3981,1.3828,0.0153
1.3981,1.3828,0.0152
1.398,1.3828,0.0152
1.398,1.3828,0.0151
1.3979,1.3828,0.0151
1.3978,1.3828,0.015
1.3978,1.3828,0.015
1.3977,1.3828,0.0149
1.3977,1.3828,0.0148
1.3976,1.3828,0.0148
1.3976,1.3829,0.0147
1.3976,1.3829,0.0147
1.3975,1.3829,0.0146
1.3974,1.3829,0.0146
1.3974,1.3829,0.0145
1.3974,1.3829,0.0145
1.3973,1.3829,0.0144
1.3973,1.3829,0.0144
1.3972,1.3829,0.0143
1.3973,1.383,0.0143
1.3973,1.383,0.0143
1.3972,1.383,0.0142
1.3972,1.383,0.0142
1.3971,1.383,0.0141
1.3971,1.383,0.0141
1.397,1.383,0.014
1.397,1.383,0.014
1.3969,1.383,0.0139
1.3969,1.383,0.0139
1.3968,1.383,0.0138
1.3968,1.383,0.0138
1.3967,1.383,0.0137
1.3967,1.383,0.0137
1.3966,1.383,0.0136
1.3966,1.383,0.0136
1.3965,1.383,0.0136
1.3965,1.383,0.0135
1.3964,1.383,0.0135
1.3964,1.383,0.0134
1.3964,1.383,0.0134
1.3963,1.383,0.0133
1.3963,1.383,0.0133
1.3963,1.383,0.0132
1.3962,1.383,0.0132
1.3962,1.383,0.0132
1.3962,1.383,0.0131
1.3961,1.3831,0.0131
1.3961,1.3831,0.013
1.3961,1.3831,0.013
1.396,1.3831,0.0129
1.396,1.3831,0.0129
1.396,1.3831,0.0129
1.3959,1.3831,0.0128
1.3959,1.3831,0.0128
1.3959,1.3831,0.0127
1.3958,1.3831,0.0127
1.3958,1.3832,0.0127
1.3958,1.3832,0.0126
1.3957,1.3832,0.0126
1.3957,1.3832,0.0125
1.3957,1.3832,0.0125
1.3956,1.3832,0.0125
1.3956,1.3832,0.0124
1.3956,1.3832,0.0124
1.3956,1.3832,0.0123
1.3955,1.3832,0.0123
1.3955,1.3832,0.0123
1.3954,1.3832,0.0122
1.3954,1.3832,0.0122
1.3954,1.3832,0.0122
1.3954,1.3832,0.0122
1.3954,1.3833,0.0121
1.3954,1.3833,0.0121
1.3953,1.3833,0.0121
1.3953,1.3833,0.012
1.3953,1.3833,0.012
1.3953,1.3833,0.012
1.3952,1.3833,0.012
1.3952,1.3833,0.0119
1.3952,1.3833,0.0119
1.3952,1.3833,0.0119
1.3952,1.3833,0.0119
1.3951,1.3833,0.0118
1.3951,1.3833,0.0118
1.3951,1.3833,0.0118
1.395,1.3833,0.0117
1.395,1.3833,0.0117
1.395,1.3833,0.0117
1.3949,1.3833,0.0116
1.3949,1.3833,0.0116
1.3949,1.3833,0.0116
1.3949,1.3833,0.0115
1.3948,1.3833,0.0115
1.3948,1.3833,0.0115
1.3948,1.3833,0.0114
1.3948,1.3834,0.0114
1.3947,1.3834,0.0114
1.3947,1.3833,0.0113
1.3947,1.3834,0.0113
1.3946,1.3834,0.0113
1.3946,1.3834,0.0112
1.3946,1.3834,0.0113
1.3946,1.3834,0.0112
1.3946,1.3834,0.0112
1.3946,1.3833,0.0112
1.3946,1.3834,0.0112
1.3945,1.3833,0.0112
1.3945,1.3834,0.0111
1.3945,1.3834,0.0111
1.3944,1.3834,0.0111
1.3944,1.3834,0.011
1.3944,1.3834,0.011
1.3943,1.3834,0.011
1.3943,1.3834,0.0109
1.3943,1.3834,0.0109
1.3943,1.3834,0.0109
1.3944,1.3834,0.011
1.3944,1.3834,0.011
1.3943,1.3834,0.0109
1.3943,1.3834,0.0109
1.3943,1.3834,0.0109
1.3943,1.3834,0.0109
1.3942,1.3834,0.0108
1.3942,1.3834,0.0108
1.3942,1.3834,0.0108
1.3942,1.3834,0.0107
1.3942,1.3834,0.0107
1.3941,1.3835,0.0107
1.3941,1.3835,0.0107
1.3941,1.3835,0.0106
1.3941,1.3835,0.0106
1.394,1.3835,0.0106
1.394,1.3834,0.0106
1.394,1.3835,0.0105
1.394,1.3835,0.0105
1.3939,1.3835,0.0105
1.3939,1.3835,0.0104
1.3939,1.3835,0.0104
1.3939,1.3835,0.0104
1.3939,1.3835,0.0104
1.3938,1.3835,0.0104
1.3938,1.3835,0.0103
1.3938,1.3835,0.0103
1.3938,1.3835,0.0103
1.3937,1.3835,0.0103
1.3937,1.3835,0.0102
1.3937,1.3834,0.0102
1.3937,1.3835,0.0102
1.3937,1.3835,0.0102
1.3936,1.3835,0.0102
1.3936,1.3835,0.0101
1.3936,1.3835,0.0101
1.3936,1.3835,0.0101
1.3936,1.3835,0.0101
1.3935,1.3835,0.01
1.3935,1.3835,0.01
1.3935,1.3835,0.01
1.3934,1.3835,0.01
1.3934,1.3835,0.0099
1.3934,1.3835,0.0099
1.3934,1.3835,0.0099
1.3934,1.3835,0.0099
1.3933,1.3835,0.0098
1.3933,1.3835,0.0098
1.3933,1.3835,0.0098
1.3932,1.3835,0.0098
1.3932,1.3835,0.0098
1.3932,1.3835,0.0097
1.3932,1.3835,0.0097
1.3932,1.3835,0.0097
1.3932,1.3835,0.0097
1.3932,1.3835,0.0096
1.3931,1.3835,0.0096
1.3931,1.3835,0.0096
1.3931,1.3835,0.0096
1.3931,1.3835,0.0096
1.393,1.3835,0.0095
1.393,1.3835,0.0095
1.393,1.3835,0.0095
1.3929,1.3835,0.0095
1.3929,1.3834,0.0094
1.3929,1.3834,0.0094
1.3928,1.3834,0.0094
1.3928,1.3834,0.0094
1.3928,1.3834,0.0094
1.3928,1.3834,0.0093
1.3928,1.3834,0.0093
1.3928,1.3835,0.0093
1.3927,1.3834,0.0093
1.3927,1.3834,0.0093
1.3927,1.3835,0.0092
1.3927,1.3834,0.0092
1.3926,1.3835,0.0092
1.3926,1.3835,0.0092
1.3926,1.3835,0.0092
1.3926,1.3835,0.0091
1.3926,1.3835,0.0091
1.3925,1.3835,0.0091
1.3925,1.3835,0.0091
1.3925,1.3834,0.0091
1.3925,1.3835,0.009
1.3924,1.3834,0.009
1.3924,1.3834,0.009
1.3924,1.3834,0.009
1.3924,1.3834,0.009
1.3924,1.3834,0.0089
1.3924,1.3834,0.0089
1.3923,1.3834,0.0089
1.3923,1.3835,0.0089
1.3923,1.3835,0.0089
1.3923,1.3835,0.0088
1.3923,1.3835,0.0088
1.3923,1.3835,0.0088
1.3923,1.3835,0.0088
1.3922,1.3835,0.0088
1.3922,1.3835,0.0088
1.3922,1.3835,0.0087
1.3922,1.3835,0.0087
1.3922,1.3835,0.0087
1.3922,1.3835,0.0087
1.3922,1.3835,0.0087
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.3921,1.3835,0.0086
1.392,1.3835,0.0085
1.392,1.3835,0.0085
1.392,1.3835,0.0085
1.392,1.3835,0.0085
1.3919,1.3835,0.0085
1.3919,1.3835,0.0085
1.3919,1.3835,0.0084
1.3919,1.3835,0.0084
1.3919,1.3834,0.0084
1.3918,1.3834,0.0084
1.3918,1.3834,0.0084
1.3919,1.3835,0.0084
1.3919,1.3834,0.0084
