total_loss,domain_loss,src_cls_loss
1.5101,1.3811,0.129
1.4501,1.3818,0.0684
1.4271,1.3808,0.0462
1.4327,1.3819,0.0508
1.4301,1.3824,0.0477
1.4278,1.3827,0.0451
1.4225,1.3832,0.0393
1.4161,1.3817,0.0345
1.4126,1.3804,0.0322
1.4114,1.3808,0.0305
1.4207,1.3806,0.04
1.4234,1.3813,0.0422
1.4237,1.382,0.0417
1.4208,1.3815,0.0393
1.4182,1.3814,0.0368
1.4176,1.382,0.0356
1.4204,1.3823,0.0381
1.4187,1.3819,0.0368
1.417,1.382,0.035
1.417,1.382,0.035
1.4155,1.382,0.0336
1.4149,1.3823,0.0326
1.4152,1.3823,0.0329
1.415,1.3821,0.0329
1.415,1.3821,0.033
1.4137,1.3819,0.0318
1.4123,1.3816,0.0307
1.4126,1.3815,0.0311
1.4116,1.3814,0.0302
1.4112,1.3816,0.0296
1.4132,1.3816,0.0315
1.4122,1.3816,0.0307
1.4115,1.3817,0.0298
1.4113,1.3815,0.0298
1.4122,1.3817,0.0305
1.4115,1.3818,0.0297
1.4112,1.382,0.0293
1.4131,1.382,0.0311
1.4124,1.3821,0.0303
1.4125,1.3822,0.0303
1.4117,1.3821,0.0296
1.4114,1.3822,0.0293
1.4119,1.3823,0.0296
1.4117,1.3824,0.0293
1.4114,1.3824,0.029
1.4108,1.3825,0.0284
1.4101,1.3824,0.0278
1.4096,1.3823,0.0272
1.409,1.3824,0.0267
1.409,1.3824,0.0266
1.4098,1.3824,0.0274
1.411,1.3823,0.0287
1.4114,1.3825,0.0288
1.411,1.3824,0.0286
1.4106,1.3824,0.0282
1.4099,1.3822,0.0277
1.4094,1.3822,0.0272
1.4089,1.3819,0.027
1.4093,1.382,0.0273
1.4095,1.3818,0.0277
1.4097,1.3817,0.028
1.4094,1.3819,0.0275
1.409,1.3818,0.0272
1.4087,1.3818,0.0269
1.4084,1.3819,0.0265
1.4076,1.3815,0.0261
1.4074,1.3814,0.026
1.4072,1.3813,0.026
1.407,1.3814,0.0256
1.4066,1.3814,0.0253
1.4062,1.3813,0.0249
1.4063,1.3814,0.0249
1.406,1.3813,0.0247
1.4057,1.3813,0.0244
1.4053,1.3812,0.0241
1.4045,1.3808,0.0238
1.4045,1.381,0.0235
1.404,1.3808,0.0232
1.4038,1.3808,0.0229
1.4035,1.3809,0.0226
1.4035,1.3808,0.0227
1.403,1.3806,0.0224
1.4029,1.3806,0.0223
1.4027,1.3807,0.0221
1.4025,1.3807,0.0218
1.4023,1.3808,0.0216
1.4017,1.3804,0.0213
1.4015,1.3803,0.0211
1.4012,1.3803,0.0209
1.4011,1.3803,0.0208
1.4011,1.3804,0.0207
1.4008,1.3803,0.0205
1.4006,1.3803,0.0203
1.4005,1.3805,0.0201
1.4002,1.3804,0.0199
1.4001,1.3804,0.0197
1.4,1.3806,0.0195
1.4002,1.3807,0.0195
1.4,1.3806,0.0194
1.4,1.3808,0.0192
1.4008,1.3808,0.02
1.4007,1.3809,0.0199
1.4005,1.3808,0.0197
1.4005,1.381,0.0195
1.4003,1.3809,0.0193
1.4001,1.3809,0.0191
1.4,1.381,0.019
1.3997,1.3809,0.0188
1.3996,1.3809,0.0186
1.3994,1.381,0.0185
1.3993,1.381,0.0183
1.3992,1.3811,0.0181
1.399,1.381,0.018
1.3989,1.3811,0.0178
1.3988,1.3811,0.0177
1.3986,1.3811,0.0175
1.3985,1.3811,0.0175
1.3988,1.3811,0.0177
1.3988,1.3812,0.0176
1.3986,1.3811,0.0174
1.3983,1.381,0.0173
1.3983,1.3811,0.0172
1.3981,1.3811,0.017
1.398,1.3811,0.0169
1.3977,1.381,0.0167
1.3976,1.381,0.0166
1.3975,1.381,0.0165
1.3974,1.3811,0.0164
1.3973,1.3811,0.0162
1.3972,1.381,0.0161
1.397,1.381,0.016
1.397,1.381,0.0159
1.3969,1.3809,0.016
1.3969,1.3811,0.0158
1.3972,1.381,0.0161
1.3974,1.3811,0.0163
1.3974,1.3811,0.0163
1.3974,1.3811,0.0164
1.3973,1.381,0.0162
1.3972,1.3811,0.0161
1.3971,1.3811,0.016
1.397,1.3811,0.0159
1.397,1.3812,0.0158
1.3969,1.3812,0.0157
1.3968,1.3812,0.0156
1.3968,1.3813,0.0155
1.3967,1.3813,0.0154
1.3965,1.3812,0.0153
1.3963,1.3811,0.0152
1.3965,1.3812,0.0153
1.3964,1.3812,0.0152
1.3965,1.3812,0.0153
1.3965,1.3813,0.0152
1.3964,1.3813,0.0151
1.3963,1.3813,0.015
1.3962,1.3813,0.0149
1.3961,1.3813,0.0148
1.3961,1.3813,0.0147
1.396,1.3814,0.0146
1.3959,1.3813,0.0146
1.3958,1.3814,0.0145
1.3958,1.3814,0.0144
1.3958,1.3814,0.0144
1.3967,1.3815,0.0152
1.3966,1.3815,0.0151
1.3966,1.3815,0.015
1.3965,1.3816,0.015
1.3965,1.3816,0.0149
1.3964,1.3816,0.0148
1.3963,1.3816,0.0147
1.3963,1.3817,0.0146
1.3962,1.3817,0.0145
1.3962,1.3817,0.0145
1.3962,1.3818,0.0145
1.3962,1.3817,0.0145
1.3961,1.3817,0.0144
1.396,1.3817,0.0143
1.396,1.3817,0.0143
1.3959,1.3817,0.0142
1.3958,1.3817,0.0141
1.3957,1.3817,0.014
1.3957,1.3817,0.014
1.3957,1.3818,0.0139
1.3956,1.3818,0.0138
1.3955,1.3818,0.0138
1.3955,1.3818,0.0137
1.3954,1.3818,0.0136
1.3954,1.3818,0.0135
1.3953,1.3819,0.0135
1.3953,1.3819,0.0134
1.3952,1.3819,0.0133
1.3952,1.3819,0.0133
1.3951,1.382,0.0132
1.3951,1.3819,0.0132
1.3951,1.382,0.0131
1.3951,1.382,0.013
1.395,1.382,0.013
1.395,1.3821,0.0129
1.3949,1.3821,0.0128
1.3948,1.3821,0.0128
1.3948,1.3821,0.0127
1.3948,1.3821,0.0127
1.3947,1.3821,0.0126
1.3947,1.3821,0.0125
1.3946,1.3821,0.0125
1.3945,1.3821,0.0124
1.3944,1.3821,0.0124
1.3944,1.3821,0.0123
1.3942,1.382,0.0122
1.3942,1.382,0.0122
1.3942,1.3821,0.0121
1.3941,1.382,0.0121
1.3941,1.3821,0.012
1.394,1.3821,0.0119
1.394,1.3821,0.0119
1.3939,1.3821,0.0118
1.3938,1.382,0.0118
1.3938,1.382,0.0117
1.3937,1.382,0.0117
1.3938,1.382,0.0118
1.3938,1.382,0.0118
1.3936,1.3819,0.0117
1.3937,1.382,0.0117
1.3936,1.382,0.0116
1.3936,1.382,0.0116
1.3935,1.382,0.0115
1.3934,1.382,0.0115
1.3934,1.3819,0.0114
1.3933,1.382,0.0114
1.3933,1.382,0.0113
1.3932,1.3819,0.0113
1.3931,1.3819,0.0112
1.3931,1.3819,0.0112
1.3931,1.382,0.0111
1.3931,1.382,0.0111
1.393,1.382,0.011
1.393,1.382,0.011
1.393,1.382,0.011
1.3929,1.382,0.0109
1.3929,1.382,0.0109
1.3929,1.382,0.0108
1.3928,1.3821,0.0108
1.3928,1.382,0.0107
1.3927,1.382,0.0107
1.3927,1.3821,0.0107
1.3927,1.3821,0.0106
1.3926,1.3821,0.0106
1.3926,1.382,0.0105
1.3925,1.382,0.0105
1.3925,1.382,0.0105
1.3925,1.382,0.0104
1.3924,1.382,0.0104
1.3924,1.3821,0.0103
1.3923,1.3821,0.0103
1.3923,1.3821,0.0102
1.3923,1.3821,0.0102
1.3922,1.3821,0.0102
1.3922,1.3821,0.0101
1.3921,1.382,0.0101
1.3921,1.3821,0.0101
1.3921,1.382,0.01
1.392,1.3821,0.01
1.392,1.3821,0.0099
1.392,1.3821,0.0099
1.392,1.3821,0.0099
1.3919,1.3821,0.0098
1.3919,1.3821,0.0098
1.3918,1.3821,0.0098
1.3918,1.3821,0.0097
1.3918,1.3821,0.0097
1.3917,1.3821,0.0096
1.3917,1.3821,0.0096
1.3916,1.3821,0.0096
1.3916,1.3821,0.0095
1.3916,1.3821,0.0095
1.3915,1.3821,0.0095
1.3915,1.3821,0.0094
1.3915,1.3821,0.0094
1.3914,1.3821,0.0094
1.3914,1.3821,0.0093
1.3914,1.3821,0.0093
1.3914,1.3821,0.0093
1.3914,1.3821,0.0092
1.3914,1.3822,0.0092
1.3913,1.3822,0.0092
1.3913,1.3822,0.0091
1.3913,1.3822,0.0091
1.3913,1.3822,0.0091
1.3913,1.3822,0.0091
1.3913,1.3823,0.009
1.3913,1.3823,0.009
1.3912,1.3823,0.009
1.3912,1.3823,0.0089
1.3912,1.3823,0.0089
1.3912,1.3823,0.0089
1.3911,1.3823,0.0088
1.3911,1.3823,0.0088
1.3911,1.3823,0.0088
1.3911,1.3823,0.0088
1.3911,1.3824,0.0087
1.3911,1.3824,0.0087
1.391,1.3824,0.0087
1.391,1.3824,0.0086
1.391,1.3824,0.0086
1.391,1.3824,0.0086
1.391,1.3824,0.0086
1.3909,1.3824,0.0085
1.3909,1.3824,0.0085
1.3909,1.3824,0.0085
