total_loss,domain_loss,src_cls_loss
1.6206,1.3076,0.313
1.5468,1.3254,0.2214
1.4858,1.3248,0.161
1.4749,1.3362,0.1386
1.4688,1.3469,0.1219
1.4679,1.3484,0.1195
1.4559,1.3456,0.1103
1.445,1.3422,0.1028
1.4408,1.3451,0.0957
1.4413,1.3413,0.1
1.4409,1.3457,0.0952
1.4339,1.3455,0.0884
1.4315,1.3474,0.084
1.4282,1.3482,0.08
1.4316,1.3492,0.0823
1.435,1.3512,0.0838
1.4351,1.3521,0.083
1.4319,1.3509,0.0811
1.4287,1.3515,0.0773
1.43,1.352,0.078
1.4271,1.3517,0.0754
1.4244,1.3516,0.0727
1.422,1.3511,0.071
1.4233,1.3511,0.0722
1.4226,1.35,0.0726
1.423,1.3516,0.0714
1.4236,1.3526,0.0709
1.4252,1.3531,0.0721
1.4256,1.3534,0.0722
1.4259,1.3536,0.0723
1.4243,1.3536,0.0708
1.4241,1.3536,0.0704
1.4243,1.3551,0.0692
1.427,1.3557,0.0712
1.4254,1.3558,0.0696
1.4269,1.3564,0.0705
1.4263,1.3568,0.0695
1.4262,1.3569,0.0693
1.4244,1.3561,0.0683
1.4244,1.3568,0.0676
1.4252,1.3574,0.0677
1.4259,1.3575,0.0684
1.4276,1.3567,0.0709
1.4287,1.3571,0.0716
1.4263,1.3556,0.0707
1.4265,1.3557,0.0708
1.4271,1.3555,0.0716
1.4269,1.3562,0.0708
1.4264,1.356,0.0705
1.4255,1.3558,0.0697
1.4255,1.3564,0.069
1.4241,1.3561,0.068
1.4249,1.3556,0.0693
1.4244,1.3557,0.0686
1.4236,1.3558,0.0678
1.4228,1.3556,0.0673
1.4213,1.3551,0.0662
1.4218,1.3553,0.0666
1.4207,1.3547,0.066
1.421,1.3549,0.066
1.4222,1.3555,0.0667
1.4218,1.3559,0.0659
1.4216,1.3562,0.0654
1.4216,1.3568,0.0648
1.4223,1.3573,0.065
1.4233,1.3579,0.0655
1.4225,1.3576,0.0649
1.4214,1.3573,0.0641
1.4213,1.3579,0.0633
1.4236,1.3582,0.0654
1.4233,1.358,0.0653
1.4235,1.3584,0.0651
1.4228,1.3585,0.0643
1.4224,1.3588,0.0636
1.4214,1.3585,0.0629
1.4208,1.3586,0.0622
1.4198,1.3581,0.0617
1.42,1.3583,0.0616
1.4206,1.3586,0.062
1.4209,1.3591,0.0618
1.4201,1.3588,0.0613
1.421,1.359,0.062
1.4214,1.3597,0.0617
1.4221,1.36,0.0621
1.422,1.3603,0.0617
1.421,1.36,0.061
1.4212,1.3606,0.0606
1.4213,1.3605,0.0608
1.4208,1.3604,0.0604
1.4207,1.3605,0.0603
1.4209,1.3606,0.0603
1.42,1.3602,0.0598
1.42,1.3606,0.0594
1.4207,1.3609,0.0598
1.4202,1.3607,0.0595
1.4199,1.3604,0.0596
1.4206,1.3605,0.0601
1.4206,1.3609,0.0597
1.4196,1.36,0.0595
1.4189,1.3599,0.059
1.4193,1.3601,0.0592
1.4186,1.36,0.0587
1.4183,1.3598,0.0584
1.4187,1.3598,0.0589
1.419,1.3601,0.0589
1.4191,1.3606,0.0585
1.4186,1.3606,0.058
1.4183,1.3607,0.0576
1.4182,1.3608,0.0575
1.4187,1.3604,0.0583
1.4186,1.3605,0.0581
1.4182,1.3602,0.058
1.4178,1.3601,0.0576
1.417,1.3598,0.0572
1.4168,1.3597,0.0571
1.4162,1.3594,0.0569
1.4156,1.359,0.0566
1.4147,1.3585,0.0562
1.4144,1.3586,0.0558
1.4138,1.3584,0.0554
1.4129,1.358,0.0549
1.4126,1.3582,0.0545
1.4122,1.3581,0.0541
1.4123,1.3581,0.0542
1.4121,1.3581,0.054
1.4114,1.3575,0.0539
1.4105,1.3567,0.0538
1.4107,1.3568,0.0539
1.4105,1.3567,0.0538
1.4108,1.3569,0.0539
1.411,1.3568,0.0541
1.4104,1.3566,0.0538
1.4095,1.3561,0.0534
1.4089,1.3557,0.0532
1.4087,1.3557,0.0529
1.4087,1.3561,0.0526
1.4084,1.356,0.0524
1.4082,1.3559,0.0523
1.408,1.3559,0.0521
1.408,1.3559,0.0521
1.4079,1.356,0.0519
1.4076,1.356,0.0516
1.4073,1.356,0.0513
1.407,1.3558,0.0512
1.4065,1.3555,0.051
1.4064,1.3556,0.0508
1.4061,1.3555,0.0506
1.4058,1.3554,0.0503
1.4057,1.3556,0.0502
1.4058,1.3557,0.0501
1.4056,1.3558,0.0499
1.4054,1.3558,0.0496
1.405,1.3557,0.0493
1.4042,1.3552,0.049
1.4039,1.3549,0.049
1.4037,1.3549,0.0488
1.4032,1.3545,0.0487
1.403,1.3545,0.0484
1.4023,1.3541,0.0482
1.4029,1.3544,0.0485
1.4028,1.3544,0.0483
1.4023,1.3542,0.0481
1.4021,1.3542,0.0479
1.4017,1.3541,0.0476
1.4018,1.3544,0.0474
1.4015,1.3542,0.0473
1.4015,1.3542,0.0473
1.4014,1.3544,0.047
1.4009,1.3541,0.0468
1.4006,1.354,0.0466
1.4003,1.3539,0.0463
1.3997,1.3536,0.0461
1.3997,1.3539,0.0458
1.3996,1.3538,0.0458
1.3992,1.3536,0.0456
1.3989,1.3535,0.0453
1.3983,1.3532,0.0451
1.3979,1.3529,0.045
1.3974,1.3526,0.0448
1.3973,1.3528,0.0445
1.3965,1.3522,0.0443
1.3965,1.3524,0.0441
1.396,1.3522,0.0438
1.3957,1.352,0.0437
1.3953,1.3518,0.0435
1.3952,1.3519,0.0433
1.3949,1.3517,0.0432
1.3947,1.3515,0.0432
1.3945,1.3514,0.043
1.3944,1.3515,0.0428
1.3942,1.3515,0.0427
1.3943,1.3517,0.0427
1.3939,1.3514,0.0426
1.3937,1.3513,0.0424
1.3933,1.3511,0.0421
1.3931,1.3511,0.042
1.3928,1.3509,0.0418
1.3926,1.351,0.0416
1.3923,1.3509,0.0414
1.3924,1.3512,0.0412
1.392,1.3509,0.0411
1.3918,1.3508,0.0409
1.3917,1.3508,0.0409
1.3912,1.3505,0.0407
1.3912,1.3507,0.0405
1.3911,1.3508,0.0404
1.391,1.3508,0.0402
1.3902,1.3502,0.04
1.3902,1.3503,0.0399
1.39,1.3503,0.0397
1.3899,1.3503,0.0396
1.3899,1.3505,0.0394
1.3897,1.3504,0.0392
1.3896,1.3504,0.0392
1.3892,1.3501,0.0391
1.389,1.3501,0.0389
1.3887,1.3499,0.0388
1.3884,1.3497,0.0387
1.3881,1.3497,0.0385
1.388,1.3495,0.0386
1.388,1.3496,0.0384
1.3877,1.3495,0.0382
1.3874,1.3492,0.0382
1.3872,1.3491,0.0381
1.3873,1.3493,0.038
1.3869,1.349,0.0379
1.3865,1.3487,0.0378
1.3864,1.3488,0.0376
1.3861,1.3487,0.0374
1.3861,1.3488,0.0373
1.3859,1.3487,0.0371
1.3857,1.3487,0.037
1.3856,1.3486,0.037
1.3851,1.3482,0.037
1.3849,1.3481,0.0368
1.3846,1.3479,0.0367
1.3847,1.3482,0.0366
1.3843,1.3479,0.0364
1.3843,1.3479,0.0364
1.384,1.3477,0.0363
1.3837,1.3476,0.0361
1.3835,1.3475,0.036
1.3835,1.3475,0.0359
1.3832,1.3473,0.0359
1.3831,1.3473,0.0358
1.3829,1.3471,0.0358
1.3825,1.3469,0.0357
1.3821,1.3466,0.0355
1.3819,1.3464,0.0355
1.3813,1.3459,0.0353
1.3811,1.3458,0.0353
1.3813,1.346,0.0353
1.3812,1.346,0.0352
1.3808,1.3457,0.0351
1.3806,1.3456,0.0349
1.3806,1.3456,0.0349
1.3803,1.3455,0.0349
1.3804,1.3456,0.0348
1.3805,1.3458,0.0347
