total_loss,domain_loss,src_cls_loss
1.5916,1.3323,0.2593
1.5576,1.3317,0.2259
1.5114,1.3272,0.1843
1.4866,1.3306,0.156
1.4963,1.3303,0.166
1.5058,1.3337,0.1722
1.5008,1.3325,0.1683
1.5048,1.3355,0.1693
1.4955,1.339,0.1565
1.492,1.3426,0.1493
1.4904,1.3439,0.1465
1.4956,1.3428,0.1528
1.4934,1.3453,0.148
1.4955,1.3468,0.1487
1.4974,1.3456,0.1519
1.4917,1.3455,0.1462
1.4901,1.3436,0.1465
1.4893,1.346,0.1433
1.4847,1.3456,0.139
1.4969,1.3479,0.149
1.4942,1.3486,0.1456
1.4936,1.3485,0.1451
1.49,1.3497,0.1403
1.4919,1.3497,0.1421
1.491,1.3493,0.1417
1.4939,1.3493,0.1446
1.4921,1.3492,0.1429
1.4914,1.3498,0.1416
1.4902,1.3504,0.1398
1.488,1.3503,0.1377
1.4867,1.3496,0.1371
1.4851,1.3501,0.135
1.4854,1.3503,0.1351
1.4856,1.3507,0.1349
1.4851,1.3515,0.1336
1.4868,1.3503,0.1365
1.486,1.3514,0.1346
1.4881,1.3521,0.136
1.4878,1.3526,0.1352
1.4863,1.3521,0.1342
1.4841,1.3522,0.132
1.4831,1.3528,0.1303
1.4815,1.3527,0.1288
1.4818,1.3537,0.1281
1.4825,1.3542,0.1283
1.4836,1.354,0.1296
1.4822,1.3539,0.1283
1.4818,1.3542,0.1276
1.4822,1.3544,0.1278
1.4827,1.3548,0.1279
1.4832,1.3555,0.1277
1.4828,1.3559,0.127
1.4802,1.3553,0.1249
1.481,1.3551,0.1259
1.4814,1.3555,0.1259
1.4808,1.356,0.1248
1.4792,1.3558,0.1234
1.4789,1.3559,0.123
1.4787,1.3563,0.1225
1.4793,1.3563,0.1231
1.4793,1.3565,0.1228
1.4782,1.3569,0.1213
1.4783,1.3576,0.1208
1.4778,1.3574,0.1205
1.4773,1.3577,0.1196
1.4783,1.358,0.1203
1.4781,1.3585,0.1197
1.4773,1.3584,0.1189
1.4781,1.3581,0.12
1.4779,1.3586,0.1193
1.4767,1.3583,0.1184
1.4777,1.3583,0.1194
1.4763,1.3581,0.1182
1.4759,1.3583,0.1177
1.4767,1.3583,0.1185
1.476,1.3581,0.1179
1.476,1.3579,0.1181
1.4744,1.3572,0.1171
1.4738,1.3573,0.1164
1.474,1.3576,0.1164
1.4746,1.3577,0.1169
1.4733,1.3577,0.1157
1.4734,1.3579,0.1155
1.4732,1.3578,0.1154
1.4727,1.3577,0.115
1.4722,1.3577,0.1144
1.472,1.3581,0.1139
1.4726,1.3582,0.1145
1.473,1.3583,0.1147
1.4725,1.3582,0.1144
1.4726,1.3586,0.1141
1.4719,1.3589,0.1131
1.4706,1.3586,0.112
1.471,1.3588,0.1123
1.4711,1.3593,0.1119
1.4718,1.3596,0.1122
1.4723,1.3598,0.1125
1.4717,1.3597,0.112
1.4705,1.3594,0.111
1.4701,1.3595,0.1106
1.4701,1.3594,0.1107
1.4697,1.3598,0.1099
1.469,1.3599,0.1091
1.4688,1.3601,0.1087
1.4685,1.3602,0.1082
1.4695,1.36,0.1095
1.4695,1.3602,0.1093
1.4697,1.3606,0.1091
1.4703,1.3605,0.1098
1.4696,1.3603,0.1093
1.4691,1.3605,0.1086
1.4688,1.3606,0.1081
1.4679,1.3606,0.1073
1.4669,1.3605,0.1065
1.4672,1.3607,0.1065
1.4674,1.3609,0.1064
1.4672,1.3609,0.1063
1.467,1.3609,0.1061
1.4664,1.3608,0.1056
1.4657,1.3608,0.105
1.4655,1.3609,0.1046
1.4655,1.361,0.1045
1.4657,1.3611,0.1046
1.4651,1.361,0.1041
1.4652,1.3612,0.104
1.4654,1.3611,0.1043
1.465,1.3609,0.1041
1.4655,1.3611,0.1044
1.4651,1.361,0.1042
1.4648,1.3608,0.104
1.4646,1.3606,0.104
1.4641,1.3605,0.1037
1.4638,1.3606,0.1033
1.4637,1.3608,0.103
1.4632,1.3604,0.1029
1.4637,1.3609,0.1027
1.4639,1.3612,0.1027
1.4637,1.3611,0.1026
1.4637,1.3612,0.1025
1.464,1.3612,0.1029
1.4637,1.361,0.1027
1.4634,1.3609,0.1024
1.4636,1.3609,0.1027
1.4636,1.3608,0.1028
1.4638,1.3611,0.1026
1.4639,1.3615,0.1024
1.4635,1.3615,0.1021
1.4631,1.3614,0.1017
1.4628,1.3615,0.1013
1.4625,1.3617,0.1009
1.4622,1.3617,0.1004
1.4618,1.3617,0.1001
1.4615,1.3617,0.0998
