total_loss,domain_loss,src_cls_loss
1.5393,1.2963,0.243
1.4846,1.3219,0.1628
1.4699,1.3338,0.1361
1.443,1.3288,0.1143
1.4371,1.3358,0.1013
1.4482,1.3449,0.1032
1.4481,1.343,0.1051
1.4393,1.3419,0.0974
1.4365,1.3393,0.0972
1.4308,1.3398,0.0911
1.4336,1.3433,0.0904
1.4333,1.3442,0.0891
1.4266,1.3437,0.0829
1.4224,1.3452,0.0772
1.4233,1.3453,0.078
1.4326,1.3459,0.0866
1.4356,1.3477,0.0879
1.4334,1.345,0.0884
1.4357,1.3481,0.0877
1.4371,1.3502,0.087
1.4355,1.3514,0.0841
1.4339,1.3534,0.0805
1.4331,1.3536,0.0795
1.4288,1.352,0.0769
1.4294,1.3532,0.0762
1.4271,1.3523,0.0748
1.4272,1.3533,0.0739
1.4257,1.3535,0.0722
1.4243,1.3531,0.0712
1.422,1.3529,0.0691
1.4241,1.3548,0.0693
1.426,1.3558,0.0702
1.4249,1.3558,0.0691
1.4241,1.3562,0.0679
1.4234,1.3574,0.0661
1.4212,1.3569,0.0643
1.4197,1.3571,0.0626
1.4197,1.3581,0.0616
1.4192,1.3586,0.0606
1.4195,1.3581,0.0614
1.4202,1.358,0.0622
1.4208,1.3584,0.0623
1.4199,1.3585,0.0614
1.4202,1.3588,0.0614
1.4202,1.3587,0.0615
1.4208,1.3577,0.0631
1.4217,1.3573,0.0644
1.4217,1.3569,0.0647
1.4215,1.3563,0.0651
1.4201,1.3554,0.0646
1.4203,1.3562,0.0641
1.4187,1.3556,0.0631
1.4192,1.3558,0.0634
1.4186,1.3561,0.0626
1.4175,1.3559,0.0615
1.4185,1.3569,0.0616
1.4179,1.357,0.0609
1.4188,1.3566,0.0622
1.4188,1.3565,0.0622
1.4184,1.3569,0.0615
1.4189,1.3574,0.0615
1.4185,1.3575,0.061
1.4179,1.3577,0.0601
1.4176,1.3578,0.0598
1.4166,1.3575,0.0591
1.4154,1.3571,0.0584
1.4163,1.3571,0.0592
1.4167,1.3575,0.0592
1.4177,1.3581,0.0596
