total_loss,domain_loss,src_cls_loss
1.5162,1.3753,0.1409
1.5048,1.3758,0.1289
1.4883,1.3759,0.1124
1.4817,1.3743,0.1074
1.4776,1.3748,0.1028
1.4716,1.3751,0.0965
1.4706,1.3758,0.0948
1.4684,1.3757,0.0926
1.4674,1.3765,0.0909
1.4664,1.3765,0.0899
1.4649,1.3763,0.0886
1.4633,1.3763,0.0871
1.463,1.3768,0.0862
1.4626,1.3771,0.0855
1.4627,1.3775,0.0852
1.4624,1.3777,0.0847
1.4614,1.3778,0.0836
1.4612,1.3781,0.0831
1.4607,1.3782,0.0824
1.4613,1.3786,0.0827
1.4607,1.3787,0.0821
1.4603,1.3788,0.0815
1.4596,1.3789,0.0806
1.4591,1.3789,0.0801
1.4584,1.3789,0.0794
1.4582,1.3789,0.0792
1.4577,1.379,0.0787
1.4577,1.3792,0.0784
1.4573,1.3793,0.078
1.4572,1.3793,0.0779
1.4569,1.3794,0.0776
1.4563,1.3794,0.0769
1.4564,1.3795,0.0768
1.4561,1.3796,0.0765
1.4562,1.3797,0.0765
1.4559,1.3798,0.0761
1.4558,1.3798,0.076
1.4555,1.3798,0.0757
1.4553,1.3799,0.0754
1.4549,1.38,0.075
1.4548,1.38,0.0748
1.4547,1.3801,0.0746
1.4543,1.3801,0.0742
1.454,1.3801,0.0739
1.4538,1.3802,0.0736
1.4539,1.3803,0.0736
1.4534,1.3803,0.0731
1.4534,1.3803,0.0731
1.4532,1.3804,0.0728
1.4534,1.3804,0.0729
1.4532,1.3805,0.0727
1.4529,1.3806,0.0723
1.4524,1.3806,0.0718
1.4523,1.3805,0.0718
1.452,1.3806,0.0714
1.4521,1.3807,0.0714
1.4521,1.3808,0.0714
1.4519,1.3809,0.071
1.4518,1.3809,0.0709
1.4516,1.381,0.0706
1.4514,1.381,0.0704
1.4511,1.381,0.07
1.4511,1.3811,0.0699
1.4506,1.3812,0.0695
1.4506,1.3812,0.0693
1.4503,1.3813,0.069
1.4501,1.3814,0.0687
1.4499,1.3814,0.0685
1.4498,1.3814,0.0684
1.4497,1.3815,0.0682
1.4495,1.3815,0.068
1.4492,1.3816,0.0676
1.4491,1.3816,0.0675
1.449,1.3817,0.0674
1.449,1.3817,0.0673
1.4487,1.3817,0.067
1.4486,1.3818,0.0669
1.4484,1.3817,0.0666
1.4483,1.3818,0.0666
1.4481,1.3818,0.0663
1.4479,1.3818,0.0661
1.4479,1.3818,0.0661
1.4479,1.3818,0.0661
1.4477,1.3819,0.0658
1.4475,1.3819,0.0656
1.4474,1.3819,0.0655
1.4471,1.3819,0.0652
1.447,1.382,0.0651
1.4469,1.382,0.065
1.4469,1.382,0.0649
1.4469,1.382,0.0649
1.4468,1.3821,0.0647
1.4467,1.3821,0.0646
1.4465,1.3822,0.0644
1.4464,1.3822,0.0642
1.4461,1.3822,0.0639
1.446,1.3822,0.0638
1.4459,1.3822,0.0637
1.4458,1.3823,0.0636
1.4458,1.3823,0.0635
1.4457,1.3823,0.0634
1.4456,1.3823,0.0633
1.4455,1.3823,0.0632
1.4453,1.3823,0.063
1.4454,1.3823,0.0631
1.4454,1.3824,0.063
1.4452,1.3823,0.0629
1.4452,1.3824,0.0628
1.4451,1.3824,0.0627
1.4449,1.3824,0.0626
1.4448,1.3824,0.0624
1.4447,1.3824,0.0623
1.4446,1.3824,0.0622
1.4443,1.3824,0.0619
1.4443,1.3824,0.0619
1.4442,1.3824,0.0618
1.4441,1.3824,0.0617
1.444,1.3824,0.0616
1.4439,1.3824,0.0615
1.4438,1.3824,0.0613
1.4438,1.3825,0.0613
1.4437,1.3825,0.0612
1.4436,1.3825,0.0611
1.4434,1.3825,0.0609
1.4433,1.3826,0.0608
1.4431,1.3826,0.0606
1.443,1.3826,0.0604
1.4429,1.3826,0.0603
1.4428,1.3826,0.0602
1.4428,1.3826,0.0602
1.4427,1.3826,0.06
1.4425,1.3827,0.0598
1.4425,1.3827,0.0598
1.4424,1.3827,0.0597
1.4423,1.3827,0.0596
1.4422,1.3827,0.0594
1.442,1.3828,0.0593
1.4419,1.3828,0.0591
1.4419,1.3828,0.0591
1.4418,1.3828,0.059
1.4417,1.3828,0.0589
1.4415,1.3828,0.0587
1.4412,1.3828,0.0584
1.441,1.3828,0.0582
1.4408,1.3828,0.058
1.4406,1.3828,0.0578
1.4403,1.3828,0.0575
1.4401,1.3828,0.0573
1.4398,1.3829,0.057
1.4397,1.3829,0.0568
1.4395,1.3829,0.0566
1.4393,1.3829,0.0564
1.439,1.3829,0.0562
1.4388,1.3829,0.0559
1.4386,1.3829,0.0557
1.4384,1.3829,0.0555
1.4383,1.3829,0.0553
1.4381,1.3829,0.0551
1.4379,1.3829,0.055
1.4377,1.383,0.0547
1.4375,1.383,0.0545
1.4373,1.383,0.0543
1.4371,1.383,0.0541
1.4369,1.383,0.0539
1.4368,1.383,0.0538
1.4366,1.383,0.0536
1.4365,1.383,0.0534
1.4363,1.3831,0.0532
1.4361,1.3831,0.053
1.4359,1.3831,0.0529
1.4358,1.3831,0.0527
1.4356,1.3831,0.0525
1.4355,1.3831,0.0524
1.4353,1.3831,0.0522
1.4351,1.3831,0.052
1.4349,1.3831,0.0518
1.4348,1.3831,0.0517
1.4346,1.3831,0.0515
1.4344,1.3831,0.0513
1.4343,1.3831,0.0512
1.4341,1.3831,0.051
1.434,1.3831,0.0508
1.4338,1.3832,0.0506
1.4336,1.3832,0.0504
1.4334,1.3832,0.0503
1.4334,1.3832,0.0502
1.4332,1.3832,0.05
1.4331,1.3832,0.0498
1.4329,1.3832,0.0497
1.4328,1.3832,0.0495
1.4327,1.3833,0.0494
1.4325,1.3833,0.0493
1.4324,1.3833,0.0491
1.4322,1.3833,0.0489
1.4321,1.3833,0.0488
1.432,1.3833,0.0486
1.4318,1.3833,0.0485
1.4317,1.3834,0.0484
1.4316,1.3834,0.0482
1.4315,1.3834,0.0481
1.4313,1.3834,0.048
1.4312,1.3834,0.0478
1.4311,1.3834,0.0477
1.431,1.3834,0.0476
1.4308,1.3834,0.0474
1.4307,1.3835,0.0473
1.4306,1.3835,0.0471
1.4305,1.3835,0.047
1.4303,1.3835,0.0468
1.4302,1.3835,0.0467
1.4301,1.3835,0.0466
1.4299,1.3835,0.0464
1.4298,1.3835,0.0463
1.4297,1.3835,0.0461
1.4295,1.3835,0.046
1.4294,1.3836,0.0458
1.4292,1.3836,0.0457
1.4291,1.3836,0.0455
1.4289,1.3836,0.0453
1.4287,1.3836,0.0451
1.4286,1.3836,0.0449
1.4284,1.3836,0.0448
1.4283,1.3836,0.0446
1.4281,1.3836,0.0445
1.428,1.3837,0.0443
1.4278,1.3837,0.0442
1.4277,1.3837,0.044
1.4276,1.3837,0.0439
1.4274,1.3837,0.0437
1.4273,1.3837,0.0435
1.4271,1.3837,0.0434
1.427,1.3837,0.0433
1.4269,1.3837,0.0431
1.4267,1.3838,0.043
1.4266,1.3838,0.0428
1.4265,1.3838,0.0427
1.4263,1.3838,0.0425
1.4262,1.3838,0.0424
1.4261,1.3838,0.0423
1.4259,1.3838,0.0421
1.4258,1.3838,0.042
1.4257,1.3838,0.0418
1.4256,1.3839,0.0417
1.4254,1.3839,0.0416
1.4253,1.3839,0.0415
1.4252,1.3839,0.0413
1.425,1.3839,0.0411
1.4249,1.3839,0.041
1.4248,1.3839,0.0409
1.4247,1.3839,0.0407
1.4246,1.3839,0.0406
1.4244,1.3839,0.0405
1.4243,1.3839,0.0404
1.4242,1.384,0.0402
1.4241,1.384,0.0401
1.424,1.384,0.04
1.4238,1.384,0.0398
1.4237,1.384,0.0397
1.4236,1.384,0.0396
1.4235,1.384,0.0395
1.4234,1.384,0.0394
1.4233,1.384,0.0392
1.4232,1.384,0.0391
1.4231,1.384,0.039
1.4229,1.3841,0.0389
1.4229,1.3841,0.0388
1.4227,1.3841,0.0387
1.4226,1.3841,0.0385
1.4225,1.3841,0.0384
1.4224,1.3841,0.0383
1.4223,1.3841,0.0382
1.4221,1.3841,0.038
1.422,1.3841,0.0379
1.4219,1.3841,0.0378
1.4218,1.3841,0.0377
1.4217,1.3841,0.0376
1.4216,1.3842,0.0375
1.4215,1.3842,0.0373
1.4214,1.3842,0.0372
1.4213,1.3842,0.0371
1.4212,1.3842,0.037
1.4211,1.3842,0.0369
1.421,1.3842,0.0368
1.4209,1.3842,0.0367
1.4208,1.3842,0.0365
1.4207,1.3842,0.0364
1.4205,1.3842,0.0363
1.4204,1.3842,0.0362
1.4203,1.3842,0.0361
1.4202,1.3843,0.036
1.4201,1.3843,0.0359
1.42,1.3843,0.0358
1.42,1.3843,0.0357
1.4199,1.3843,0.0356
1.4198,1.3843,0.0355
1.4196,1.3843,0.0353
1.4195,1.3843,0.0352
1.4195,1.3843,0.0352
1.4194,1.3843,0.035
1.4193,1.3843,0.0349
1.4192,1.3843,0.0348
1.4191,1.3843,0.0347
1.419,1.3843,0.0346
1.4189,1.3843,0.0345
1.4188,1.3844,0.0344
1.4187,1.3844,0.0344
1.4186,1.3844,0.0342
1.4185,1.3844,0.0341
1.4184,1.3844,0.034
1.4183,1.3844,0.0339
1.4183,1.3844,0.0339
1.4182,1.3844,0.0338
1.4181,1.3844,0.0337
1.418,1.3844,0.0336
1.4179,1.3844,0.0335
1.4178,1.3844,0.0334
1.4177,1.3844,0.0333
1.4177,1.3844,0.0332
1.4176,1.3844,0.0331
1.4175,1.3845,0.033
1.4174,1.3845,0.033
1.4173,1.3845,0.0329
1.4173,1.3845,0.0328
1.4172,1.3845,0.0327
1.4171,1.3845,0.0326
1.417,1.3845,0.0325
1.4169,1.3845,0.0324
1.4168,1.3845,0.0323
1.4167,1.3845,0.0322
