total_loss,domain_loss,src_cls_loss
1.5519,1.3782,0.1737
1.5035,1.3746,0.129
1.4905,1.3748,0.1157
1.4823,1.3761,0.1061
1.483,1.3765,0.1066
1.4695,1.3758,0.0938
1.4687,1.3765,0.0922
1.4646,1.3771,0.0875
1.4634,1.3772,0.0863
1.4603,1.3773,0.0829
1.4599,1.3776,0.0823
1.4602,1.378,0.0823
1.4579,1.3775,0.0803
1.4602,1.3778,0.0825
1.4582,1.3777,0.0805
1.4586,1.3774,0.0812
1.4574,1.3772,0.0802
1.4573,1.3772,0.0801
1.4559,1.377,0.0788
1.4543,1.3766,0.0777
1.4529,1.3768,0.0762
1.4528,1.377,0.0758
1.452,1.3771,0.0749
1.4524,1.3773,0.0751
1.4518,1.3775,0.0743
1.4515,1.3777,0.0738
1.4516,1.3777,0.0739
1.453,1.3779,0.075
1.4535,1.3779,0.0755
1.4525,1.3777,0.0747
1.4524,1.3778,0.0747
1.452,1.3778,0.0741
1.4514,1.3777,0.0737
1.4503,1.3778,0.0724
1.4504,1.378,0.0725
1.4498,1.3781,0.0717
1.4494,1.3781,0.0713
1.4491,1.3781,0.071
1.4492,1.3781,0.0711
1.449,1.3783,0.0707
1.4489,1.3782,0.0707
1.4483,1.3782,0.0701
1.4486,1.3783,0.0703
1.4479,1.3783,0.0696
1.4478,1.3784,0.0694
1.4478,1.3784,0.0694
1.4472,1.3784,0.0688
1.447,1.3783,0.0687
1.4469,1.3784,0.0685
1.4463,1.3783,0.068
1.446,1.3784,0.0676
1.4465,1.3785,0.0681
1.446,1.3785,0.0675
1.4457,1.3784,0.0673
1.4454,1.3785,0.0668
1.4453,1.3786,0.0667
1.445,1.3786,0.0664
1.4448,1.3785,0.0662
1.4445,1.3786,0.066
1.4448,1.3787,0.0661
1.4447,1.3788,0.0659
1.4443,1.3789,0.0653
1.4441,1.379,0.0651
1.444,1.379,0.065
1.4439,1.3792,0.0648
1.4438,1.3792,0.0646
1.4437,1.3793,0.0644
1.4435,1.3793,0.0641
1.4432,1.3793,0.0639
1.443,1.3794,0.0636
1.4426,1.3794,0.0632
1.4425,1.3795,0.063
1.4426,1.3795,0.0631
1.4424,1.3794,0.063
1.4421,1.3795,0.0626
1.4418,1.3794,0.0624
1.4418,1.3794,0.0624
1.442,1.3795,0.0625
1.4419,1.3796,0.0623
1.4418,1.3797,0.0621
1.4416,1.3798,0.0618
1.4414,1.3799,0.0615
1.4412,1.3799,0.0613
1.4411,1.38,0.0611
1.441,1.38,0.061
1.4406,1.3801,0.0605
1.4406,1.3802,0.0605
1.4404,1.3802,0.0602
1.4401,1.3803,0.0599
1.4402,1.3803,0.0599
1.44,1.3803,0.0597
1.4399,1.3803,0.0596
1.4398,1.3803,0.0594
1.4395,1.3804,0.0592
1.4395,1.3804,0.0591
1.4395,1.3804,0.0591
1.4395,1.3804,0.059
1.4396,1.3804,0.0591
1.4395,1.3804,0.0591
1.4392,1.3805,0.0588
1.4391,1.3804,0.0586
1.4389,1.3804,0.0584
1.4386,1.3805,0.0581
1.4385,1.3805,0.058
1.4386,1.3805,0.0581
1.4386,1.3805,0.058
1.4385,1.3806,0.0579
1.4385,1.3806,0.0579
1.4383,1.3806,0.0577
1.4382,1.3807,0.0575
1.4383,1.3807,0.0576
1.4381,1.3807,0.0574
1.4381,1.3807,0.0573
1.4378,1.3808,0.0571
1.4378,1.3808,0.057
1.4377,1.3808,0.0569
1.4378,1.3809,0.0569
1.4377,1.3808,0.0569
1.4374,1.3809,0.0566
1.4371,1.3809,0.0563
1.4368,1.3809,0.0559
1.4365,1.3809,0.0555
1.4364,1.381,0.0554
1.4361,1.381,0.0551
1.4359,1.3811,0.0548
1.4356,1.3811,0.0545
1.4353,1.3811,0.0542
1.4351,1.3812,0.0539
1.4347,1.3812,0.0535
1.4345,1.3812,0.0533
1.4342,1.3812,0.053
1.434,1.3813,0.0527
