total_loss,domain_loss,src_cls_loss
1.7451,1.3756,0.3695
1.6856,1.3729,0.3126
1.6463,1.3735,0.2728
1.6367,1.3713,0.2653
1.6276,1.372,0.2556
1.6193,1.3709,0.2484
1.6126,1.3717,0.2408
1.6103,1.3729,0.2374
1.6058,1.373,0.2328
1.6009,1.3731,0.2278
1.597,1.3722,0.2247
1.5934,1.3715,0.2219
1.5906,1.3717,0.2189
1.5913,1.3723,0.219
1.5928,1.3723,0.2205
1.591,1.3727,0.2183
1.5893,1.3724,0.2169
1.5866,1.3727,0.214
1.5841,1.3725,0.2116
1.583,1.3724,0.2106
1.5816,1.3726,0.209
1.5803,1.3726,0.2077
1.5782,1.3724,0.2058
1.5762,1.3723,0.2039
1.5754,1.3725,0.2028
1.574,1.3724,0.2016
1.5729,1.3725,0.2004
1.5731,1.3726,0.2005
1.5716,1.3728,0.1988
1.5716,1.3731,0.1985
1.57,1.3731,0.197
1.5699,1.3734,0.1964
1.5697,1.3736,0.1961
1.5686,1.3736,0.1951
1.568,1.3737,0.1943
1.5668,1.3738,0.1931
1.5662,1.3738,0.1924
1.5657,1.3739,0.1918
1.5647,1.374,0.1907
1.5641,1.374,0.1901
1.5633,1.374,0.1893
1.5635,1.3742,0.1892
1.5628,1.3743,0.1885
1.5627,1.3746,0.1881
1.5622,1.3745,0.1877
1.5613,1.3746,0.1868
1.5608,1.3747,0.1862
1.5597,1.3748,0.1849
1.5592,1.3749,0.1843
1.559,1.3748,0.1842
1.5582,1.3749,0.1833
1.5575,1.375,0.1826
1.5566,1.3749,0.1817
1.5562,1.3751,0.1811
1.5554,1.3752,0.1802
1.5551,1.3753,0.1798
1.555,1.3753,0.1797
1.5546,1.3754,0.1792
1.5538,1.3754,0.1784
1.5534,1.3755,0.1779
1.5527,1.3755,0.1772
1.5523,1.3757,0.1767
1.5521,1.3757,0.1764
1.5514,1.3758,0.1756
1.5511,1.3759,0.1752
1.5507,1.376,0.1748
1.5506,1.376,0.1745
1.55,1.3761,0.1739
1.5492,1.376,0.1732
1.5486,1.376,0.1726
1.5483,1.3761,0.1722
1.5477,1.3761,0.1716
1.5472,1.3762,0.171
1.5464,1.3762,0.1702
1.5461,1.3763,0.1698
1.5456,1.3763,0.1692
1.5451,1.3764,0.1687
1.5448,1.3765,0.1683
1.5441,1.3765,0.1676
1.5438,1.3766,0.1673
1.5433,1.3765,0.1667
1.543,1.3766,0.1664
1.5424,1.3766,0.1658
1.5421,1.3767,0.1654
1.5421,1.3767,0.1654
1.5415,1.3767,0.1648
1.5411,1.3768,0.1644
1.5407,1.3768,0.1639
1.5403,1.3768,0.1635
1.54,1.3769,0.1631
1.5394,1.3769,0.1625
1.5392,1.377,0.1622
1.5386,1.3771,0.1615
1.5384,1.3772,0.1613
1.538,1.3773,0.1607
1.5376,1.3773,0.1604
1.5373,1.3773,0.16
1.537,1.3773,0.1597
1.5368,1.3773,0.1594
1.5363,1.3774,0.159
1.5359,1.3774,0.1585
1.5356,1.3774,0.1582
1.5354,1.3775,0.158
1.535,1.3775,0.1575
1.5346,1.3775,0.157
1.534,1.3775,0.1565
1.5338,1.3776,0.1562
1.5335,1.3776,0.1559
1.5331,1.3777,0.1555
1.5326,1.3776,0.1549
1.5325,1.3777,0.1547
1.5321,1.3777,0.1544
1.5317,1.3777,0.1539
1.5312,1.3777,0.1535
1.5308,1.3777,0.1531
1.5306,1.3778,0.1528
1.5302,1.3778,0.1523
1.5298,1.3778,0.1519
1.5295,1.3779,0.1517
1.5292,1.3779,0.1513
1.5288,1.3779,0.1509
1.5286,1.378,0.1507
1.5283,1.3779,0.1504
1.5279,1.3779,0.15
1.5277,1.3779,0.1497
1.5272,1.3779,0.1492
1.5269,1.3779,0.149
1.5264,1.3779,0.1485
1.5261,1.3779,0.1482
1.5257,1.3779,0.1478
1.5256,1.378,0.1477
1.5253,1.378,0.1473
1.525,1.378,0.1469
1.5246,1.378,0.1466
1.5244,1.3781,0.1463
1.5241,1.3781,0.1459
1.5239,1.3782,0.1457
1.5236,1.3782,0.1454
1.5233,1.3782,0.1451
1.523,1.3782,0.1448
1.5228,1.3782,0.1446
1.5223,1.3782,0.1441
1.522,1.3782,0.1438
1.5218,1.3783,0.1435
1.5216,1.3783,0.1433
1.5212,1.3783,0.1429
1.5209,1.3783,0.1426
1.5207,1.3783,0.1424
1.5204,1.3783,0.1421
1.5201,1.3784,0.1417
1.5197,1.3784,0.1413
1.5193,1.3785,0.1409
1.5191,1.3785,0.1406
1.5188,1.3785,0.1403
1.5185,1.3786,0.1399
1.5183,1.3786,0.1397
1.5181,1.3786,0.1395
1.5179,1.3787,0.1392
1.5176,1.3787,0.1389
1.5174,1.3788,0.1386
1.5171,1.3788,0.1383
1.5168,1.3788,0.138
1.5167,1.3789,0.1378
1.5164,1.3789,0.1375
1.5161,1.3789,0.1372
1.5159,1.379,0.1369
1.5156,1.379,0.1366
1.5154,1.379,0.1364
1.5152,1.3791,0.1361
1.5149,1.3791,0.1358
1.5147,1.3791,0.1356
1.5144,1.3791,0.1352
1.5142,1.3792,0.135
1.5139,1.3792,0.1347
1.5136,1.3792,0.1344
1.5134,1.3792,0.1341
1.5131,1.3793,0.1339
1.5129,1.3793,0.1336
1.5127,1.3793,0.1334
1.5125,1.3794,0.1332
1.5123,1.3794,0.1329
1.5121,1.3794,0.1327
1.5118,1.3794,0.1324
1.5114,1.3794,0.132
1.5112,1.3795,0.1317
1.5109,1.3795,0.1315
1.5107,1.3795,0.1312
1.5105,1.3795,0.131
1.5102,1.3795,0.1307
1.5099,1.3795,0.1304
1.5096,1.3795,0.1301
1.5092,1.3795,0.1297
1.5088,1.3795,0.1293
1.5083,1.3795,0.1289
