total_loss,domain_loss,src_cls_loss
1.4843,1.3853,0.099
1.4514,1.3871,0.0643
1.4752,1.3874,0.0878
1.4553,1.3874,0.0679
1.441,1.3861,0.0549
1.4321,1.3854,0.0467
1.4272,1.3862,0.041
1.4213,1.3854,0.0359
1.4166,1.3847,0.0319
1.415,1.3863,0.0288
1.4125,1.3863,0.0262
1.41,1.386,0.024
1.4086,1.3864,0.0222
1.4073,1.3868,0.0206
1.4058,1.3866,0.0192
1.4056,1.3865,0.0191
1.422,1.3866,0.0355
1.422,1.3858,0.0363
1.4219,1.386,0.0359
1.4207,1.386,0.0347
1.4192,1.386,0.0332
1.42,1.3856,0.0345
1.4183,1.3851,0.0332
1.4179,1.3858,0.0321
1.4169,1.3861,0.0309
1.4157,1.386,0.0297
1.4147,1.3861,0.0286
1.4136,1.386,0.0276
1.4126,1.3859,0.0267
1.4117,1.3859,0.0258
1.4107,1.3857,0.0249
1.4102,1.386,0.0242
1.4094,1.386,0.0234
1.4087,1.3859,0.0227
1.4078,1.3857,0.0221
1.4075,1.386,0.0215
1.4071,1.3862,0.0209
1.4065,1.3862,0.0204
1.4058,1.386,0.0198
1.4052,1.3859,0.0193
1.4051,1.3862,0.0189
1.4049,1.3863,0.0186
1.4044,1.3862,0.0182
1.4041,1.3863,0.0178
1.4037,1.3863,0.0174
1.4033,1.3863,0.017
1.4029,1.3863,0.0166
1.4036,1.3863,0.0173
1.4044,1.3862,0.0182
1.4042,1.3861,0.0181
1.4043,1.386,0.0183
1.4042,1.3858,0.0184
1.4047,1.386,0.0187
1.4043,1.3859,0.0183
1.4041,1.3861,0.018
1.4038,1.3861,0.0177
1.4035,1.3862,0.0174
1.4032,1.3862,0.0171
1.4029,1.3861,0.0168
1.4027,1.3862,0.0165
1.4024,1.3862,0.0162
1.4022,1.3862,0.016
1.4019,1.3862,0.0157
1.4017,1.3862,0.0155
1.4015,1.3863,0.0152
1.4013,1.3863,0.015
1.4011,1.3863,0.0148
1.4009,1.3863,0.0146
1.4007,1.3863,0.0144
1.4005,1.3863,0.0142
1.4003,1.3863,0.014
1.4,1.3863,0.0138
1.3999,1.3863,0.0136
1.3997,1.3863,0.0134
1.3995,1.3863,0.0132
1.3994,1.3863,0.013
1.3992,1.3864,0.0129
1.3991,1.3863,0.0127
1.3989,1.3863,0.0126
1.3987,1.3864,0.0124
1.3986,1.3864,0.0122
1.3985,1.3864,0.0121
1.3983,1.3864,0.0119
1.3982,1.3864,0.0118
1.398,1.3864,0.0117
1.3979,1.3864,0.0115
1.3978,1.3864,0.0114
1.3976,1.3864,0.0113
1.3975,1.3864,0.0111
1.3974,1.3864,0.011
1.3972,1.3863,0.0109
1.3971,1.3863,0.0108
1.397,1.3864,0.0107
1.3969,1.3864,0.0106
1.3968,1.3863,0.0104
1.3966,1.3863,0.0103
1.3971,1.3863,0.0108
1.3981,1.3863,0.0117
1.398,1.3863,0.0116
1.3979,1.3864,0.0115
1.3978,1.3864,0.0115
1.3977,1.3864,0.0113
1.3975,1.3863,0.0112
1.3974,1.3863,0.0111
1.3972,1.3862,0.011
1.3971,1.3862,0.0109
1.3971,1.3862,0.0108
1.3969,1.3862,0.0107
1.3969,1.3863,0.0106
1.3968,1.3863,0.0106
1.3967,1.3863,0.0105
1.3966,1.3862,0.0104
1.3965,1.3862,0.0103
1.3964,1.3862,0.0102
1.3963,1.3862,0.0101
1.3962,1.3862,0.01
1.3962,1.3862,0.0099
1.3961,1.3862,0.0099
1.396,1.3862,0.0098
1.3959,1.3862,0.0097
1.3958,1.3862,0.0096
1.3958,1.3862,0.0095
1.3957,1.3862,0.0095
1.3956,1.3862,0.0094
1.3956,1.3863,0.0093
1.3955,1.3862,0.0092
1.3954,1.3863,0.0092
1.3954,1.3863,0.0091
1.3953,1.3863,0.009
1.3952,1.3863,0.009
1.3952,1.3863,0.0089
1.3951,1.3863,0.0088
1.395,1.3863,0.0088
1.395,1.3863,0.0087
1.3949,1.3863,0.0086
1.3948,1.3863,0.0086
1.3948,1.3863,0.0085
1.3947,1.3863,0.0084
1.3946,1.3863,0.0084
1.3945,1.3862,0.0083
1.3945,1.3862,0.0083
1.3944,1.3862,0.0082
1.3944,1.3863,0.0081
1.3944,1.3863,0.0081
1.3943,1.3863,0.008
1.3943,1.3863,0.008
1.3942,1.3863,0.0079
1.3941,1.3862,0.0079
1.394,1.3862,0.0078
1.394,1.3862,0.0078
1.394,1.3863,0.0077
1.394,1.3863,0.0077
1.3939,1.3863,0.0076
1.3937,1.3862,0.0076
