total_loss,domain_loss,src_cls_loss
1.5137,1.367,0.1467
1.4946,1.3681,0.1264
1.4516,1.3628,0.0888
1.439,1.3721,0.0669
1.4506,1.381,0.0696
1.4567,1.383,0.0737
1.4517,1.3831,0.0687
1.444,1.3829,0.061
1.4374,1.3829,0.0544
1.4312,1.3821,0.0491
1.4265,1.3817,0.0449
1.4237,1.3825,0.0412
1.4217,1.3825,0.0392
1.4265,1.3829,0.0436
1.4267,1.383,0.0437
1.4236,1.3824,0.0412
1.4218,1.3824,0.0394
1.4201,1.3828,0.0373
1.4186,1.3832,0.0355
1.4173,1.3832,0.0341
1.4163,1.3831,0.0332
1.415,1.3832,0.0318
1.414,1.3834,0.0306
1.4127,1.3834,0.0294
1.412,1.3832,0.0288
1.4297,1.383,0.0466
1.4342,1.383,0.0512
1.4343,1.3829,0.0514
1.4323,1.3826,0.0497
1.4304,1.3823,0.0481
1.4289,1.3824,0.0465
1.4278,1.3828,0.0451
1.4266,1.3829,0.0437
1.4254,1.383,0.0424
1.4243,1.3831,0.0412
1.4233,1.3833,0.0401
1.4223,1.3833,0.039
1.4212,1.3832,0.038
1.4203,1.3833,0.037
1.4196,1.3835,0.0361
1.4187,1.3835,0.0352
1.4179,1.3835,0.0344
1.4171,1.3835,0.0336
1.4163,1.3835,0.0329
1.4157,1.3836,0.0321
1.416,1.3836,0.0324
1.4316,1.3835,0.0481
1.4321,1.3836,0.0486
1.4316,1.3834,0.0482
1.4309,1.3835,0.0475
1.4312,1.3835,0.0477
1.4306,1.3835,0.0471
1.43,1.3835,0.0465
1.4289,1.3831,0.0458
1.4284,1.3832,0.0452
1.4272,1.3828,0.0444
1.4264,1.3827,0.0437
1.4257,1.3828,0.0429
1.4249,1.3827,0.0422
1.4241,1.3826,0.0415
1.4237,1.3829,0.0408
1.4232,1.383,0.0402
1.4225,1.383,0.0396
1.4244,1.383,0.0414
1.424,1.3831,0.0409
1.4233,1.3831,0.0403
1.4227,1.383,0.0397
1.4222,1.383,0.0391
1.4217,1.3831,0.0386
1.4211,1.383,0.038
1.4204,1.3829,0.0375
1.4199,1.3829,0.037
1.4194,1.383,0.0365
1.4189,1.3829,0.036
1.4186,1.383,0.0355
1.4182,1.3832,0.0351
1.4177,1.3831,0.0346
1.4172,1.3831,0.0342
1.4167,1.383,0.0338
1.4174,1.3831,0.0342
1.4183,1.3831,0.0352
1.4193,1.3831,0.0362
1.4187,1.3829,0.0358
1.4183,1.3829,0.0354
1.4177,1.3827,0.035
1.4172,1.3826,0.0346
1.4163,1.3821,0.0342
1.4163,1.3825,0.0338
1.4161,1.3826,0.0335
1.4156,1.3825,0.0331
1.4153,1.3826,0.0327
1.4151,1.3828,0.0324
1.4149,1.3829,0.032
1.4147,1.3829,0.0318
1.415,1.3829,0.0321
1.4191,1.3828,0.0363
1.419,1.3824,0.0366
1.4187,1.3823,0.0364
1.4186,1.3825,0.0361
1.4183,1.3825,0.0358
1.4181,1.3826,0.0354
1.4173,1.3822,0.0352
1.4172,1.3824,0.0348
1.4169,1.3824,0.0345
1.4166,1.3824,0.0342
1.4162,1.3823,0.0339
1.416,1.3823,0.0337
1.4156,1.3822,0.0334
1.4154,1.3823,0.0331
1.4153,1.3824,0.0328
1.415,1.3824,0.0326
1.4147,1.3824,0.0323
1.4144,1.3824,0.032
1.4141,1.3824,0.0317
1.4138,1.3823,0.0314
1.4133,1.3821,0.0312
1.4134,1.3822,0.0312
1.4132,1.3823,0.0309
1.4129,1.3823,0.0306
1.4126,1.3822,0.0304
1.4124,1.3823,0.0302
1.4122,1.3823,0.0299
1.4119,1.3822,0.0297
1.4117,1.3823,0.0295
1.4114,1.3822,0.0292
1.4114,1.3823,0.0291
1.4113,1.3824,0.0289
1.4116,1.3824,0.0292
1.4115,1.3825,0.029
1.4112,1.3825,0.0288
1.411,1.3824,0.0286
1.4108,1.3824,0.0284
1.4105,1.3824,0.0281
1.4104,1.3825,0.0279
1.4102,1.3825,0.0277
1.41,1.3824,0.0275
1.4098,1.3825,0.0273
1.4094,1.3823,0.0271
1.409,1.3821,0.027
1.4088,1.382,0.0268
1.4086,1.382,0.0266
1.4087,1.3823,0.0264
1.4085,1.3822,0.0262
1.4084,1.3824,0.026
1.4084,1.3825,0.0259
1.4081,1.3824,0.0257
1.4079,1.3824,0.0255
1.4077,1.3824,0.0253
1.4074,1.3822,0.0252
1.407,1.382,0.025
1.4067,1.3819,0.0248
1.4065,1.3819,0.0247
1.4062,1.3817,0.0245
1.4058,1.3815,0.0244
1.4056,1.3814,0.0242
1.4055,1.3815,0.0241
1.4054,1.3815,0.0239
1.4051,1.3813,0.0238
1.4048,1.3812,0.0236
1.4048,1.3813,0.0235
1.4046,1.3813,0.0233
1.4045,1.3813,0.0232
1.4045,1.3814,0.023
1.4043,1.3814,0.0229
1.4043,1.3815,0.0228
1.4041,1.3814,0.0227
1.4039,1.3814,0.0225
1.4037,1.3813,0.0224
1.4035,1.3813,0.0223
1.4034,1.3813,0.0221
1.4034,1.3813,0.022
1.4033,1.3814,0.0219
1.4032,1.3815,0.0218
1.4031,1.3815,0.0216
1.403,1.3815,0.0215
1.4028,1.3814,0.0214
1.4027,1.3814,0.0213
1.4027,1.3816,0.0212
1.4026,1.3816,0.021
1.4023,1.3814,0.0209
1.4021,1.3813,0.0208
1.402,1.3812,0.0207
1.4018,1.3812,0.0206
1.4017,1.3813,0.0205
1.4017,1.3813,0.0204
1.4015,1.3812,0.0203
1.4014,1.3813,0.0202
1.4009,1.3809,0.0201
1.4012,1.3812,0.0199
1.4011,1.3813,0.0198
1.4011,1.3814,0.0197
1.401,1.3813,0.0196
1.4007,1.3811,0.0195
1.4006,1.3812,0.0194
1.4008,1.3815,0.0193
1.4005,1.3812,0.0192
1.4005,1.3814,0.0191
1.4005,1.3815,0.019
1.4005,1.3816,0.019
1.4004,1.3815,0.0189
1.4003,1.3815,0.0188
1.4002,1.3816,0.0187
1.4001,1.3815,0.0186
1.3999,1.3814,0.0185
1.3998,1.3814,0.0184
1.3997,1.3813,0.0183
1.3996,1.3814,0.0183
1.3995,1.3813,0.0182
1.3992,1.381,0.0181
1.3991,1.3811,0.018
1.3991,1.3812,0.0179
1.3989,1.3811,0.0179
1.3988,1.381,0.0178
1.3986,1.381,0.0177
1.3987,1.381,0.0177
1.3986,1.381,0.0177
1.3985,1.381,0.0176
1.3985,1.381,0.0176
1.3986,1.3811,0.0175
1.3985,1.3811,0.0174
1.3984,1.3811,0.0173
1.3984,1.3811,0.0172
1.3983,1.3811,0.0172
1.3981,1.3811,0.0171
1.3979,1.3809,0.017
1.3978,1.3809,0.0169
1.3978,1.3809,0.0169
1.3976,1.3808,0.0168
1.3976,1.3809,0.0167
1.3976,1.381,0.0166
1.3976,1.381,0.0166
1.3974,1.3809,0.0165
1.3975,1.3809,0.0166
1.3974,1.3809,0.0165
1.3973,1.3809,0.0164
1.3972,1.3809,0.0164
1.3971,1.3808,0.0163
1.397,1.3808,0.0162
1.3968,1.3806,0.0162
1.3967,1.3806,0.0161
1.3967,1.3806,0.016
1.3967,1.3807,0.016
1.3966,1.3807,0.0159
1.3963,1.3805,0.0158
1.3964,1.3806,0.0158
1.3963,1.3806,0.0157
1.3963,1.3807,0.0156
1.3963,1.3807,0.0156
1.3962,1.3807,0.0155
1.3962,1.3807,0.0155
1.3961,1.3807,0.0154
1.3961,1.3808,0.0153
1.396,1.3807,0.0153
1.396,1.3808,0.0152
1.3959,1.3807,0.0152
1.3959,1.3808,0.0151
1.3958,1.3808,0.015
1.3955,1.3805,0.015
1.3954,1.3805,0.0149
1.3955,1.3806,0.0149
1.3955,1.3807,0.0148
1.3954,1.3806,0.0147
1.3952,1.3805,0.0147
1.3951,1.3805,0.0146
1.395,1.3804,0.0146
1.3949,1.3803,0.0145
1.3947,1.3802,0.0145
1.3947,1.3802,0.0144
1.3945,1.3802,0.0144
1.3944,1.3801,0.0143
1.3943,1.38,0.0143
1.3942,1.38,0.0142
1.3941,1.38,0.0142
1.394,1.3799,0.0141
1.3939,1.3799,0.0141
1.3939,1.3799,0.014
1.3939,1.3799,0.014
1.3939,1.38,0.0139
1.3939,1.38,0.0139
1.3939,1.3801,0.0138
1.3938,1.3801,0.0138
1.3938,1.3801,0.0137
1.3938,1.3801,0.0137
1.3937,1.3801,0.0136
1.3937,1.3801,0.0136
1.3936,1.38,0.0135
1.3936,1.3801,0.0135
1.3936,1.3802,0.0134
1.3935,1.3801,0.0134
1.3935,1.3802,0.0133
1.3934,1.3801,0.0133
1.3934,1.3802,0.0132
1.3934,1.3802,0.0132
1.3934,1.3802,0.0131
1.3933,1.3802,0.0131
1.3933,1.3802,0.0131
1.3933,1.3803,0.013
1.3932,1.3802,0.013
1.393,1.3801,0.0129
1.393,1.3801,0.0129
1.393,1.3802,0.0128
1.3929,1.3801,0.0128
1.3929,1.3801,0.0128
1.3928,1.3801,0.0127
1.3928,1.3801,0.0127
1.3928,1.3801,0.0126
1.3926,1.3801,0.0126
1.3927,1.3801,0.0126
1.3926,1.3801,0.0125
1.3926,1.3801,0.0125
1.3925,1.3801,0.0124
1.3924,1.38,0.0124
1.3924,1.38,0.0124
1.3922,1.3799,0.0123
1.392,1.3797,0.0123
1.3921,1.3798,0.0122
1.3921,1.3799,0.0122
1.3921,1.3799,0.0122
1.392,1.3799,0.0121
1.3919,1.3799,0.0121
1.392,1.38,0.012
1.392,1.38,0.012
1.392,1.38,0.012
1.3919,1.38,0.0119
1.3919,1.38,0.0119
1.3918,1.3799,0.0119
1.3917,1.3799,0.0118
1.3917,1.3799,0.0118
1.3917,1.3799,0.0118
1.3917,1.3799,0.0117
1.3916,1.3799,0.0117
1.3916,1.3799,0.0117
1.3915,1.3799,0.0116
1.3915,1.3799,0.0116
1.3915,1.3799,0.0116
1.3915,1.38,0.0115
1.3914,1.38,0.0115
1.3912,1.3798,0.0114
1.3913,1.3799,0.0114
1.3913,1.38,0.0114
1.3913,1.38,0.0114
1.3913,1.3799,0.0113
1.3913,1.38,0.0113
1.3913,1.38,0.0113
1.3912,1.38,0.0112
1.3913,1.3801,0.0112
1.3916,1.3801,0.0115
1.3915,1.3801,0.0114
1.3915,1.3801,0.0114
1.3915,1.3801,0.0114
1.3915,1.3801,0.0113
1.3914,1.3801,0.0113
1.3914,1.3801,0.0113
1.3914,1.3801,0.0112
1.3914,1.3801,0.0112
1.3914,1.3802,0.0112
1.3913,1.3801,0.0112
1.3913,1.3801,0.0112
1.3913,1.3802,0.0111
1.3913,1.3802,0.0111
1.3912,1.3802,0.0111
1.3912,1.3802,0.011
