total_loss,domain_loss,src_cls_loss
1.48,1.3901,0.0899
1.4735,1.3898,0.0837
1.4619,1.3859,0.076
1.4524,1.3854,0.067
1.4392,1.3855,0.0537
1.4286,1.3839,0.0448
1.4233,1.3849,0.0384
1.4193,1.3857,0.0336
1.4159,1.3861,0.0299
1.4126,1.3857,0.0269
1.4107,1.3863,0.0244
1.4098,1.3864,0.0234
1.4078,1.3862,0.0216
1.4062,1.3861,0.0201
1.4053,1.3865,0.0187
1.4041,1.3863,0.0178
1.4088,1.3864,0.0224
1.4073,1.3861,0.0212
1.4073,1.3865,0.0208
1.4093,1.3864,0.0229
1.4081,1.3862,0.0219
1.4082,1.386,0.0222
1.4073,1.3861,0.0212
1.4067,1.3864,0.0204
1.4059,1.3863,0.0196
1.4046,1.3857,0.0188
1.4045,1.3863,0.0181
1.4038,1.3863,0.0175
1.4032,1.3863,0.0169
1.4027,1.3863,0.0163
1.4021,1.3863,0.0158
1.4016,1.3863,0.0153
1.4012,1.3863,0.0149
1.4007,1.3863,0.0144
1.4004,1.3864,0.014
1.4,1.3864,0.0136
1.3997,1.3864,0.0132
1.3993,1.3864,0.0129
1.399,1.3864,0.0126
1.3986,1.3864,0.0123
1.3983,1.3864,0.012
1.3981,1.3865,0.0117
1.3979,1.3865,0.0114
1.3974,1.3862,0.0111
1.3973,1.3864,0.0109
1.3971,1.3864,0.0107
1.3968,1.3864,0.0104
1.3967,1.3865,0.0102
1.3965,1.3865,0.01
1.3963,1.3865,0.0098
1.3961,1.3865,0.0096
1.3959,1.3865,0.0094
1.3958,1.3865,0.0093
1.3956,1.3865,0.0091
1.3955,1.3865,0.0089
1.3953,1.3866,0.0088
1.3952,1.3866,0.0086
1.395,1.3865,0.0085
1.3949,1.3866,0.0083
1.3947,1.3865,0.0082
1.3944,1.3863,0.008
1.3944,1.3865,0.0079
1.3936,1.3859,0.0078
1.3936,1.3859,0.0077
1.3956,1.3859,0.0097
1.3965,1.3859,0.0106
1.3972,1.3859,0.0112
1.3972,1.3859,0.0113
1.3971,1.386,0.0112
1.397,1.386,0.011
1.3986,1.386,0.0126
1.3985,1.386,0.0125
1.3983,1.3859,0.0124
1.3982,1.386,0.0122
1.3981,1.386,0.0121
1.4028,1.386,0.0168
1.4041,1.386,0.0181
1.4047,1.386,0.0187
1.4046,1.3861,0.0186
1.4044,1.3861,0.0183
1.4042,1.3861,0.0181
1.404,1.3861,0.0179
1.4038,1.3861,0.0177
1.4035,1.3861,0.0175
1.4034,1.3861,0.0173
1.4033,1.3861,0.0172
1.4031,1.3861,0.017
1.4029,1.3861,0.0168
1.4027,1.3861,0.0166
1.4025,1.3861,0.0165
1.4024,1.3861,0.0163
1.4022,1.3861,0.0161
1.402,1.386,0.0159
1.4018,1.3861,0.0158
1.4017,1.3861,0.0156
1.4015,1.3861,0.0154
1.4014,1.3861,0.0153
1.4012,1.3861,0.0151
1.4011,1.3861,0.015
1.401,1.3862,0.0148
1.4008,1.3861,0.0147
1.4007,1.3862,0.0145
1.4006,1.3862,0.0144
1.4004,1.3862,0.0143
1.4003,1.3862,0.0141
1.4001,1.3862,0.014
1.4001,1.3862,0.0139
1.3999,1.3862,0.0137
1.3998,1.3862,0.0136
1.3997,1.3862,0.0135
1.3995,1.3862,0.0134
1.3994,1.3862,0.0132
1.3994,1.3862,0.0131
1.3992,1.3862,0.013
1.3991,1.3862,0.0129
1.399,1.3862,0.0128
1.3989,1.3862,0.0127
1.3988,1.3862,0.0126
1.3987,1.3863,0.0125
1.3986,1.3862,0.0124
1.3985,1.3862,0.0123
1.3983,1.3861,0.0122
1.399,1.3863,0.0127
1.3991,1.3862,0.0129
1.3991,1.3863,0.0128
1.3989,1.3862,0.0127
1.3988,1.3862,0.0126
1.3987,1.3862,0.0125
1.3986,1.3862,0.0124
1.3986,1.3862,0.0123
1.3985,1.3862,0.0122
1.3984,1.3862,0.0121
