total_loss,domain_loss,src_cls_loss
1.5657,1.3739,0.1919
1.4869,1.3859,0.101
1.4673,1.3848,0.0825
1.4506,1.3862,0.0644
1.438,1.3864,0.0517
1.4279,1.3848,0.0431
1.4236,1.3859,0.0377
1.4319,1.3864,0.0454
1.4272,1.3864,0.0408
1.4244,1.3861,0.0382
1.4266,1.3858,0.0408
1.423,1.3854,0.0376
1.4199,1.3851,0.0348
1.4176,1.3852,0.0324
1.4159,1.3852,0.0307
1.424,1.385,0.0389
1.4227,1.3846,0.0381
1.4216,1.3841,0.0375
1.4276,1.3839,0.0437
1.4281,1.3839,0.0442
1.4266,1.3844,0.0423
1.4239,1.3835,0.0404
1.4211,1.3824,0.0387
1.425,1.3827,0.0423
1.4255,1.3832,0.0423
1.4245,1.3837,0.0408
1.4235,1.3839,0.0396
1.4223,1.3837,0.0386
1.4212,1.3839,0.0373
1.4189,1.3828,0.0361
1.4183,1.3834,0.0349
1.4226,1.3838,0.0388
1.422,1.3839,0.0381
1.4214,1.3842,0.0372
1.4203,1.3841,0.0362
1.4193,1.3841,0.0352
1.4182,1.384,0.0342
1.4173,1.384,0.0333
1.4164,1.3839,0.0325
1.4166,1.3843,0.0322
1.4185,1.3844,0.0341
1.4192,1.3838,0.0354
1.4181,1.3835,0.0346
1.4179,1.384,0.0339
1.4178,1.3845,0.0332
1.4166,1.3841,0.0325
1.4166,1.384,0.0325
1.4171,1.3841,0.0329
1.4176,1.3842,0.0334
1.4165,1.3837,0.0328
1.4159,1.3837,0.0322
1.4153,1.3837,0.0316
1.4147,1.3837,0.031
1.4138,1.3834,0.0304
1.4136,1.3837,0.0299
1.4129,1.3835,0.0294
1.4128,1.3839,0.0289
1.4124,1.384,0.0284
1.4149,1.3839,0.031
1.4143,1.3838,0.0305
1.4139,1.3839,0.03
1.4136,1.3839,0.0297
1.4131,1.3839,0.0292
1.4127,1.384,0.0287
1.4123,1.384,0.0283
1.412,1.3841,0.0279
1.4116,1.3841,0.0275
1.4112,1.3842,0.0271
1.4109,1.3842,0.0267
1.4104,1.3841,0.0263
1.4101,1.3842,0.0259
1.4098,1.3842,0.0256
1.4094,1.3842,0.0252
1.4091,1.3842,0.0249
1.4088,1.3842,0.0246
1.4084,1.3842,0.0242
1.4082,1.3843,0.0239
1.408,1.3844,0.0236
1.4078,1.3845,0.0233
1.4076,1.3845,0.023
1.4072,1.3844,0.0227
1.4069,1.3844,0.0225
1.4067,1.3845,0.0222
1.4066,1.3846,0.0219
1.4062,1.3845,0.0217
1.4058,1.3843,0.0214
1.4057,1.3845,0.0212
1.4055,1.3846,0.021
1.4097,1.3846,0.0252
1.4102,1.3845,0.0257
1.4103,1.3845,0.0258
1.4102,1.3845,0.0257
1.4101,1.3845,0.0256
1.4099,1.3845,0.0253
1.4096,1.3845,0.0251
1.4094,1.3845,0.0249
1.4125,1.3844,0.0281
1.4124,1.3843,0.0281
1.4124,1.3846,0.0279
1.4121,1.3845,0.0276
1.4118,1.3844,0.0273
1.4116,1.3845,0.0271
1.4113,1.3845,0.0268
1.4111,1.3846,0.0265
1.4109,1.3846,0.0263
1.4106,1.3845,0.0261
