total_loss,domain_loss,src_cls_loss
1.4854,1.3925,0.0929
1.4326,1.3847,0.0479
1.4303,1.3774,0.0529
1.4452,1.3789,0.0663
1.4544,1.3851,0.0693
1.4413,1.3831,0.0581
1.4321,1.3822,0.0499
1.4265,1.3829,0.0436
1.4228,1.384,0.0388
1.4198,1.3848,0.0349
1.4171,1.3853,0.0318
1.4147,1.3855,0.0291
1.4125,1.3856,0.0269
1.4107,1.3857,0.025
1.4083,1.385,0.0233
1.4077,1.3858,0.0219
1.4081,1.3862,0.0218
1.4095,1.3862,0.0233
1.4082,1.386,0.0222
1.4105,1.386,0.0245
1.4128,1.3858,0.027
1.4113,1.3855,0.0258
1.4103,1.3856,0.0247
1.4093,1.3856,0.0237
1.4082,1.3855,0.0227
1.4069,1.385,0.0219
1.4067,1.3856,0.0211
1.406,1.3857,0.0203
1.4054,1.3857,0.0196
1.4046,1.3856,0.019
1.4041,1.3858,0.0184
1.4036,1.3858,0.0178
1.4032,1.3859,0.0173
1.4027,1.3859,0.0168
1.4022,1.3859,0.0163
1.4016,1.3858,0.0158
1.4013,1.3859,0.0154
1.4007,1.3858,0.015
1.4005,1.3859,0.0146
1.4002,1.3859,0.0142
1.3999,1.386,0.0139
1.3996,1.3861,0.0136
1.3993,1.386,0.0133
1.399,1.386,0.013
1.3987,1.386,0.0127
1.3985,1.3861,0.0124
1.3982,1.3861,0.0121
1.3977,1.3859,0.0119
1.3975,1.3859,0.0116
1.3974,1.386,0.0114
1.3973,1.3861,0.0112
1.3968,1.3859,0.011
1.3967,1.3859,0.0108
1.3965,1.386,0.0106
1.3964,1.3861,0.0104
1.3963,1.3861,0.0102
1.3961,1.3861,0.01
1.3957,1.3859,0.0098
1.3956,1.3859,0.0097
1.3956,1.3861,0.0095
1.3954,1.3861,0.0093
1.3952,1.3861,0.0092
1.3951,1.3861,0.009
1.395,1.3861,0.0089
1.3949,1.3862,0.0088
1.3948,1.3862,0.0086
1.3947,1.3862,0.0085
1.3946,1.3862,0.0084
1.3945,1.3862,0.0083
1.3943,1.3862,0.0081
1.3941,1.3861,0.008
1.3941,1.3861,0.0079
1.394,1.3862,0.0078
1.3939,1.3862,0.0077
1.3937,1.3861,0.0076
1.3935,1.386,0.0075
1.3934,1.386,0.0074
1.3935,1.3861,0.0073
1.3933,1.3861,0.0072
1.3933,1.3862,0.0071
1.3931,1.3861,0.007
1.3944,1.386,0.0085
1.3943,1.3859,0.0084
1.3943,1.386,0.0083
1.3942,1.386,0.0082
1.394,1.386,0.0081
1.3937,1.3857,0.008
1.3936,1.3857,0.0079
1.3934,1.3856,0.0078
1.3934,1.3857,0.0077
1.3936,1.3859,0.0076
