total_loss,domain_loss,src_cls_loss
1.4789,1.3741,0.1048
1.4383,1.3823,0.0559
1.4318,1.3858,0.046
1.4221,1.3858,0.0362
1.4294,1.3854,0.044
1.4436,1.3852,0.0584
1.4432,1.3846,0.0586
1.4379,1.3834,0.0545
1.4346,1.3826,0.052
1.4293,1.3823,0.047
1.425,1.3821,0.0429
1.4227,1.3834,0.0394
1.4192,1.3829,0.0363
1.4162,1.3825,0.0338
1.4146,1.3831,0.0315
1.4124,1.3828,0.0295
1.4307,1.3831,0.0476
1.4286,1.3824,0.0462
1.4294,1.3827,0.0467
1.4306,1.3831,0.0475
1.4292,1.3831,0.0461
1.4273,1.3833,0.044
1.4256,1.3834,0.0421
1.4243,1.3836,0.0408
1.423,1.3838,0.0392
1.4216,1.3839,0.0377
1.4202,1.3839,0.0363
1.4191,1.3841,0.035
1.4179,1.3841,0.0338
1.4169,1.3842,0.0327
1.4159,1.3842,0.0316
1.415,1.3844,0.0306
1.414,1.3843,0.0297
1.4132,1.3843,0.0289
1.4126,1.3846,0.028
1.412,1.3847,0.0273
1.4113,1.3848,0.0265
1.4104,1.3846,0.0258
1.4098,1.3847,0.0252
1.4092,1.3846,0.0245
1.4088,1.3849,0.0239
1.4083,1.385,0.0234
1.4079,1.385,0.0228
1.4073,1.385,0.0223
1.4065,1.3847,0.0218
1.4061,1.3848,0.0213
1.4058,1.3849,0.0209
1.4053,1.3848,0.0205
1.4047,1.3847,0.0201
1.4046,1.385,0.0197
1.4045,1.3852,0.0193
1.4043,1.3852,0.0191
1.4109,1.3853,0.0256
1.4112,1.3853,0.026
1.4112,1.3851,0.0261
1.4108,1.3849,0.0259
1.4103,1.3848,0.0255
1.4099,1.3848,0.0251
1.4096,1.3849,0.0247
1.4093,1.3851,0.0243
1.409,1.3851,0.0239
1.4086,1.3852,0.0235
1.4083,1.3852,0.0231
1.409,1.3852,0.0238
1.4106,1.3852,0.0253
1.4105,1.3852,0.0253
1.4101,1.3852,0.025
1.4097,1.3851,0.0246
1.4094,1.3851,0.0243
1.4089,1.385,0.024
1.4086,1.3848,0.0238
1.4083,1.3848,0.0235
1.408,1.3848,0.0232
1.4077,1.3848,0.0229
1.4075,1.3849,0.0226
1.4072,1.3848,0.0224
1.4069,1.3848,0.0221
1.4067,1.3849,0.0218
1.4064,1.3849,0.0215
1.4061,1.3849,0.0213
1.4059,1.3849,0.021
1.4057,1.3849,0.0208
