total_loss,domain_loss,src_cls_loss
1.5536,1.384,0.1696
1.4697,1.3453,0.1244
1.4361,1.3408,0.0953
1.4325,1.3509,0.0815
1.4341,1.3683,0.0658
1.4311,1.3759,0.0552
1.4085,1.3609,0.0476
1.402,1.3603,0.0417
1.4019,1.3648,0.0371
1.3901,1.3567,0.0334
1.3886,1.358,0.0307
1.4184,1.361,0.0574
1.4217,1.3612,0.0605
1.4195,1.3615,0.058
1.4173,1.3621,0.0553
1.4269,1.3644,0.0624
1.4239,1.3647,0.0592
1.4215,1.3648,0.0567
1.4212,1.3665,0.0547
1.4183,1.3658,0.0525
1.4204,1.3682,0.0521
1.4176,1.3669,0.0507
1.4203,1.3698,0.0505
1.4184,1.3697,0.0487
1.4173,1.3705,0.0468
1.4159,1.3709,0.045
1.4185,1.3709,0.0476
1.4191,1.3717,0.0474
1.4175,1.3716,0.0459
1.4168,1.3723,0.0445
1.4158,1.3725,0.0432
1.4146,1.3727,0.0419
1.4136,1.3729,0.0407
1.4134,1.3734,0.0399
1.4157,1.3739,0.0418
1.4177,1.3743,0.0434
1.4172,1.3745,0.0427
1.4166,1.3742,0.0424
1.4174,1.375,0.0424
1.4178,1.3753,0.0425
1.4178,1.3752,0.0426
1.4171,1.3753,0.0417
1.4169,1.3755,0.0415
1.416,1.3752,0.0408
1.4156,1.375,0.0406
1.4145,1.3748,0.0397
1.4138,1.3749,0.0389
1.4135,1.3754,0.0381
1.4119,1.3746,0.0373
1.412,1.3754,0.0366
1.4116,1.3757,0.0359
1.411,1.3755,0.0355
1.414,1.3762,0.0378
1.4147,1.3766,0.0381
1.4148,1.3767,0.0381
1.4146,1.3768,0.0378
1.4145,1.377,0.0375
1.414,1.3771,0.0368
1.4134,1.3771,0.0362
1.4127,1.3769,0.0358
1.4125,1.3771,0.0354
1.4128,1.3773,0.0356
1.4123,1.3773,0.035
1.4119,1.3774,0.0345
1.4116,1.3777,0.0339
1.4116,1.3781,0.0335
1.4112,1.3782,0.033
1.4109,1.3784,0.0325
1.4107,1.3785,0.0322
1.4105,1.3786,0.0319
1.4101,1.3787,0.0315
1.4099,1.3789,0.031
1.4097,1.3791,0.0306
1.4114,1.379,0.0325
1.4117,1.379,0.0326
1.4112,1.379,0.0322
1.4108,1.379,0.0318
1.4108,1.3792,0.0316
1.4107,1.3794,0.0313
1.4104,1.3795,0.0309
1.41,1.3795,0.0305
1.4098,1.3796,0.0301
1.4095,1.3797,0.0298
1.4092,1.3797,0.0294
1.4088,1.3797,0.0291
1.4087,1.3799,0.0288
1.4086,1.3801,0.0285
