total_loss,domain_loss,src_cls_loss
1.4527,1.3829,0.0698
1.4599,1.3829,0.077
1.4929,1.3832,0.1097
1.4623,1.3783,0.084
1.445,1.3766,0.0684
1.444,1.3772,0.0668
1.4422,1.3749,0.0673
1.4345,1.3738,0.0607
1.426,1.3716,0.0544
1.4357,1.3742,0.0615
1.4311,1.3737,0.0574
1.426,1.3729,0.0531
1.4255,1.3743,0.0512
1.422,1.3738,0.0481
1.4188,1.3738,0.045
1.4162,1.374,0.0422
1.4137,1.3738,0.0398
1.4258,1.3744,0.0514
1.4243,1.3741,0.0501
1.4225,1.3745,0.048
1.4194,1.3737,0.0457
1.4206,1.3732,0.0474
1.4199,1.3729,0.047
1.4182,1.3729,0.0454
1.4164,1.3723,0.0441
1.42,1.3734,0.0466
1.4195,1.3741,0.0454
1.4183,1.3744,0.044
1.4171,1.3745,0.0425
1.4164,1.3748,0.0417
1.4158,1.3753,0.0406
1.4146,1.3753,0.0393
1.4138,1.3756,0.0382
1.4148,1.3761,0.0386
1.4169,1.3765,0.0404
1.4231,1.3767,0.0463
1.4233,1.3766,0.0466
1.4248,1.3768,0.048
1.4251,1.3768,0.0483
1.4237,1.3765,0.0472
1.4232,1.3771,0.046
1.4242,1.3771,0.047
1.4229,1.3769,0.046
1.4217,1.3767,0.045
1.4208,1.3768,0.044
1.42,1.3769,0.0431
1.4199,1.377,0.043
1.4188,1.3767,0.0422
1.4179,1.3766,0.0413
1.4192,1.3766,0.0426
1.4198,1.3767,0.0431
1.4192,1.3766,0.0426
1.4211,1.3768,0.0443
1.4203,1.3766,0.0436
1.4201,1.3766,0.0435
1.4191,1.3763,0.0427
1.4185,1.3764,0.0421
1.4185,1.3768,0.0417
1.4181,1.3767,0.0415
1.4173,1.3765,0.0408
1.4167,1.3765,0.0402
1.4161,1.3765,0.0396
1.4157,1.3767,0.039
1.4161,1.3769,0.0392
1.4162,1.3771,0.0391
1.4158,1.3772,0.0386
1.415,1.377,0.038
1.4141,1.3766,0.0375
1.4134,1.3764,0.037
1.4129,1.3764,0.0365
1.4125,1.3765,0.0359
1.4129,1.3767,0.0362
1.413,1.3768,0.0361
1.4139,1.377,0.0369
1.4135,1.3771,0.0364
1.4135,1.377,0.0365
1.4131,1.377,0.0362
1.4128,1.3769,0.0359
1.4125,1.377,0.0355
1.4121,1.3769,0.0352
1.4119,1.3767,0.0352
1.4117,1.3769,0.0348
1.4116,1.3771,0.0345
1.4111,1.377,0.0341
1.4108,1.3771,0.0337
1.4111,1.3772,0.0339
1.4109,1.3773,0.0336
1.4107,1.3772,0.0335
1.4105,1.3772,0.0333
1.4107,1.3773,0.0333
1.412,1.377,0.035
1.4128,1.3768,0.036
1.4137,1.3771,0.0366
1.4146,1.3773,0.0373
1.4146,1.3774,0.0373
1.4146,1.3775,0.0371
1.4143,1.3775,0.0368
1.414,1.3775,0.0365
1.4138,1.3776,0.0362
1.4134,1.3776,0.0359
1.4132,1.3777,0.0355
1.4129,1.3777,0.0352
1.4127,1.3778,0.035
1.4127,1.3778,0.0349
1.4125,1.3779,0.0345
1.4122,1.3779,0.0342
1.4119,1.378,0.0339
1.4119,1.3781,0.0338
1.4119,1.3782,0.0337
1.412,1.3783,0.0337
1.4119,1.3784,0.0335
1.4116,1.3784,0.0332
1.4112,1.3783,0.033
1.4113,1.3783,0.033
1.411,1.3783,0.0327
1.4107,1.3782,0.0324
1.4117,1.3784,0.0333
1.4116,1.3784,0.0331
1.4113,1.3784,0.0329
1.4112,1.3785,0.0327
1.4111,1.3786,0.0325
1.4113,1.3787,0.0327
1.4111,1.3787,0.0325
1.4109,1.3787,0.0322
1.411,1.3788,0.0322
1.4108,1.3788,0.032
1.4106,1.3788,0.0318
1.4103,1.3787,0.0315
1.4103,1.3788,0.0315
1.4104,1.3788,0.0315
1.4102,1.3789,0.0314
1.4101,1.3788,0.0312
1.4097,1.3787,0.031
1.4096,1.3788,0.0308
1.4093,1.3787,0.0306
1.4095,1.3788,0.0306
1.4093,1.3788,0.0304
1.409,1.3788,0.0302
1.4087,1.3786,0.03
1.4085,1.3787,0.0298
1.4082,1.3786,0.0296
1.4083,1.3787,0.0295
1.4081,1.3787,0.0294
1.4079,1.3787,0.0292
1.4078,1.3788,0.029
1.4077,1.3789,0.0288
1.4074,1.3788,0.0286
1.4074,1.379,0.0284
1.4074,1.3789,0.0284
1.4073,1.379,0.0283
1.4071,1.379,0.0281
1.4072,1.379,0.0282
1.407,1.379,0.028
1.4069,1.3791,0.0279
1.4068,1.3791,0.0277
1.4067,1.3791,0.0276
1.4063,1.3789,0.0275
1.4062,1.3789,0.0273
1.4062,1.3791,0.0271
1.4061,1.3791,0.027
1.4059,1.3791,0.0268
1.4057,1.379,0.0266
1.4055,1.3791,0.0265
1.4054,1.3791,0.0263
1.4054,1.3792,0.0262
1.4052,1.3791,0.0261
1.4054,1.3792,0.0262
1.4052,1.3791,0.0261
1.405,1.379,0.0259
1.4047,1.3789,0.0258
1.4048,1.3789,0.0258
1.4049,1.3788,0.0261
1.4047,1.3788,0.0259
1.4047,1.3789,0.0258
1.4047,1.379,0.0256
1.4047,1.3791,0.0256
1.4045,1.3791,0.0254
1.4045,1.3792,0.0253
1.4044,1.3792,0.0252
1.4043,1.3793,0.025
1.4042,1.3793,0.0249
1.4041,1.3793,0.0248
1.404,1.3794,0.0247
1.4039,1.3794,0.0245
1.4037,1.3793,0.0244
1.4037,1.3794,0.0243
1.4036,1.3794,0.0242
1.4035,1.3794,0.0241
1.4034,1.3795,0.024
1.4033,1.3795,0.0238
1.4033,1.3796,0.0237
1.4032,1.3796,0.0236
1.4031,1.3797,0.0235
1.4031,1.3797,0.0234
1.4031,1.3798,0.0233
1.403,1.3798,0.0232
1.4029,1.3798,0.0231
1.4028,1.3798,0.023
1.4028,1.3799,0.0229
1.4027,1.3799,0.0228
1.4026,1.3799,0.0227
1.4025,1.3799,0.0226
1.4024,1.3799,0.0225
1.4023,1.38,0.0224
1.4023,1.38,0.0223
1.4021,1.38,0.0222
1.4018,1.3797,0.0221
1.4017,1.3797,0.0219
1.4016,1.3797,0.0219
1.4016,1.3798,0.0218
1.4015,1.3798,0.0217
1.4014,1.3798,0.0216
1.4014,1.3799,0.0215
1.4013,1.3799,0.0214
1.4013,1.38,0.0213
1.4012,1.38,0.0212
1.4011,1.3799,0.0211
1.401,1.38,0.021
1.4012,1.3801,0.0211
1.4011,1.3801,0.021
1.401,1.3801,0.0209
1.401,1.3801,0.0208
1.4009,1.3801,0.0207
1.4007,1.3801,0.0207
1.4006,1.3801,0.0206
1.4006,1.3801,0.0205
1.4009,1.3802,0.0207
1.4009,1.3803,0.0206
1.4007,1.3802,0.0205
1.4006,1.3802,0.0204
1.4006,1.3802,0.0204
1.4006,1.3803,0.0203
1.4005,1.3804,0.0202
1.4005,1.3804,0.0201
1.4004,1.3804,0.02
1.4004,1.3804,0.0199
1.4003,1.3805,0.0198
1.4003,1.3805,0.0198
1.4002,1.3806,0.0197
1.4002,1.3806,0.0196
1.4001,1.3806,0.0195
1.4001,1.3806,0.0194
1.4,1.3807,0.0194
1.4,1.3807,0.0193
1.3999,1.3807,0.0192
1.3999,1.3808,0.0191
1.3999,1.3808,0.0191
1.3998,1.3808,0.019
1.3998,1.3808,0.019
1.3997,1.3808,0.0189
1.3997,1.3809,0.0188
1.3996,1.3809,0.0187
1.3996,1.3809,0.0187
1.3995,1.3809,0.0186
1.3995,1.381,0.0185
1.3994,1.381,0.0184
1.3994,1.381,0.0184
1.3994,1.381,0.0184
1.3993,1.381,0.0183
1.3993,1.381,0.0182
1.3992,1.3811,0.0182
1.3992,1.3811,0.0181
1.3991,1.3811,0.018
1.3991,1.3811,0.018
1.399,1.3811,0.0179
1.399,1.3812,0.0178
1.3989,1.3812,0.0178
1.3989,1.3812,0.0177
1.3988,1.3812,0.0176
1.3988,1.3812,0.0176
1.3987,1.3812,0.0175
1.3987,1.3812,0.0174
1.3986,1.3812,0.0174
1.3986,1.3812,0.0173
1.3985,1.3813,0.0172
1.3984,1.3813,0.0172
1.3984,1.3812,0.0171
1.3983,1.3813,0.0171
1.3983,1.3813,0.017
1.3983,1.3813,0.017
1.3982,1.3813,0.0169
1.3982,1.3813,0.0169
1.3981,1.3813,0.0168
1.3981,1.3814,0.0167
1.3981,1.3814,0.0167
1.3981,1.3815,0.0166
1.3981,1.3815,0.0166
1.398,1.3815,0.0165
1.398,1.3816,0.0165
1.398,1.3816,0.0164
1.3979,1.3816,0.0163
1.3979,1.3816,0.0163
1.3979,1.3816,0.0162
1.3978,1.3816,0.0162
1.3978,1.3817,0.0161
1.3977,1.3817,0.0161
1.3977,1.3817,0.016
1.3977,1.3817,0.016
1.3976,1.3817,0.0159
1.3976,1.3818,0.0159
1.3976,1.3818,0.0158
1.3975,1.3818,0.0158
1.3975,1.3818,0.0157
1.3975,1.3818,0.0157
1.3974,1.3818,0.0156
1.3974,1.3818,0.0156
1.3974,1.3818,0.0155
1.3973,1.3819,0.0155
1.3973,1.3819,0.0154
1.3973,1.3819,0.0154
1.3972,1.3819,0.0153
1.3972,1.3819,0.0153
1.3972,1.3819,0.0152
1.3971,1.382,0.0152
1.3971,1.382,0.0151
1.397,1.382,0.0151
1.397,1.382,0.015
1.397,1.382,0.015
1.397,1.382,0.0149
1.3969,1.3821,0.0149
1.3969,1.3821,0.0148
1.3969,1.3821,0.0148
1.3969,1.3821,0.0148
1.3969,1.3821,0.0147
1.3968,1.3822,0.0147
1.3968,1.3822,0.0146
1.3968,1.3822,0.0146
1.3967,1.3822,0.0145
1.3967,1.3822,0.0145
1.3966,1.3822,0.0144
1.3966,1.3822,0.0144
1.3966,1.3822,0.0144
1.3966,1.3823,0.0144
1.3966,1.3822,0.0143
1.3965,1.3822,0.0143
1.3965,1.3822,0.0142
1.3965,1.3823,0.0142
1.3965,1.3823,0.0142
1.3965,1.3823,0.0141
1.3964,1.3823,0.0141
1.3964,1.3823,0.014
1.3963,1.3823,0.014
1.3963,1.3824,0.014
1.3963,1.3824,0.0139
1.3963,1.3824,0.0139
1.3963,1.3824,0.0138
1.3962,1.3824,0.0138
1.3962,1.3824,0.0138
1.3962,1.3825,0.0137
1.3962,1.3825,0.0137
1.3961,1.3825,0.0136
1.3961,1.3825,0.0136
1.3961,1.3825,0.0136
1.3961,1.3825,0.0135
1.396,1.3825,0.0135
1.396,1.3826,0.0135
1.396,1.3826,0.0134
1.396,1.3826,0.0134
1.396,1.3826,0.0134
1.3959,1.3826,0.0133
1.3959,1.3826,0.0133
1.3959,1.3826,0.0132
1.3959,1.3826,0.0132
1.3958,1.3827,0.0132
1.3958,1.3827,0.0131
1.3958,1.3827,0.0131
1.3958,1.3827,0.0131
1.3957,1.3827,0.013
1.3957,1.3827,0.013
